file,extension,path,lang_building_name
alabasterden,.lang,buildings\lang\english\alabasterden.lang,Alabaster's Den
bobden,.lang,buildings\lang\english\bobden.lang,Bob's Den
buttercupden,.lang,buildings\lang\english\buttercupden.lang,Buttercup's Den
champden,.lang,buildings\lang\english\champden.lang,Champ's Den
charlotteden,.lang,buildings\lang\english\charlotteden.lang,Charlotte's Den
cocoden,.lang,buildings\lang\english\cocoden.lang,Coco's Den
elliden,.lang,buildings\lang\english\elliden.lang,Elli's Den
emberandsparkden,.lang,buildings\lang\english\emberandsparkden.lang,Ember's Emporium
flissandlaineyden,.lang,buildings\lang\english\flissandlaineyden.lang,Fliss & Lainey's Den
garlicden,.lang,buildings\lang\english\garlicden.lang,Garlic's Den
glimmerden,.lang,buildings\lang\english\glimmerden.lang,Glimmer's Museum
jagden,.lang,buildings\lang\english\jagden.lang,Jag's Den
krampyden,.lang,buildings\lang\english\krampyden.lang,Krampy's Clinic
mineentrance,.lang,buildings\lang\english\mineentrance.lang,Mine Entrance
phantomden,.lang,buildings\lang\english\phantomden.lang,Phantom's Den
playerden,.lang,buildings\lang\english\playerden.lang,#player_name#'s Den
rosemaryden,.lang,buildings\lang\english\rosemaryden.lang,Rosemary's Den
talonden,.lang,buildings\lang\english\talonden.lang,Talon's Den
temple,.lang,buildings\lang\english\temple.lang,Temple
umbraden,.lang,buildings\lang\english\umbraden.lang,Umbra's Den
zephyrden,.lang,buildings\lang\english\zephyrden.lang,Zephyr's Den
