file,extension,path,lang_building_name
alabasterden,.lang,buildings\lang\spanish\alabasterden.lang,Guarida de Alabaster
bobden,.lang,buildings\lang\spanish\bobden.lang,Guarida de Bob
buttercupden,.lang,buildings\lang\spanish\buttercupden.lang,Guarida de Buttercup
champden,.lang,buildings\lang\spanish\champden.lang,Guarida de Champ
charlotteden,.lang,buildings\lang\spanish\charlotteden.lang,Guarida de Charlotte
cocoden,.lang,buildings\lang\spanish\cocoden.lang,Guarida de Coco
elliden,.lang,buildings\lang\spanish\elliden.lang,Guarida de Elli
emberandsparkden,.lang,buildings\lang\spanish\emberandsparkden.lang,Emporio de Ember
flissandlaineyden,.lang,buildings\lang\spanish\flissandlaineyden.lang,Guarida de Fliss y Lainey
garlicden,.lang,buildings\lang\spanish\garlicden.lang,Guarida de Garlic
glimmerden,.lang,buildings\lang\spanish\glimmerden.lang,Museo de Glimmer
jagden,.lang,buildings\lang\spanish\jagden.lang,Guarida de Jag
krampyden,.lang,buildings\lang\spanish\krampyden.lang,Clínica de Krampy
mineentrance,.lang,buildings\lang\spanish\mineentrance.lang,Entrada de la mina
phantomden,.lang,buildings\lang\spanish\phantomden.lang,Guarida de Phantom
playerden,.lang,buildings\lang\spanish\playerden.lang,Guarida de #player_name#
rosemaryden,.lang,buildings\lang\spanish\rosemaryden.lang,Guarida de Rosemary
talonden,.lang,buildings\lang\spanish\talonden.lang,Guarida de Talon
temple,.lang,buildings\lang\spanish\temple.lang,Templo
umbraden,.lang,buildings\lang\spanish\umbraden.lang,Guarida de Umbra
zephyrden,.lang,buildings\lang\spanish\zephyrden.lang,Guarida de Zephyr
