file,extension,path,lang_event_dialog_0,lang_event_dialog_1,lang_event_dialog_2,lang_event_dialog_3,lang_event_dialog_4,lang_event_dialog_5,lang_event_dialog_6,lang_event_dialog_7,lang_event_dialog_8,lang_event_dialog_9,lang_event_choice_1,lang_event_choice_2,lang_event_dialog_10,lang_event_dialog_11,lang_event_dialog_6a,lang_event_dialog_12,lang_event_dialog_13,lang_event_dialog_14,lang_event_dialog_15,lang_event_dialog_16,lang_event_dialog_17,lang_event_dialog_18,lang_event_dialog_19,lang_event_choice_3,lang_event_choice_4,lang_event_choice_5
alabasterandfliss1,.lang,events\lang\english\alabasterandfliss1.lang,"[neutral]Hey #npc_name_alabaster#, I was looking for you.","[neutral]Oh? What are you needing, #npc_name_fliss#? I was just sorting through the flowers I picked this morning.","[thinking]Perfect. #npc_name_lainey# has been working on a new art project, but ran out of paint. I was wondering if any of these plants could be used to create paint dyes?","[thinking]Oh, I see. These flowers are not for dye-making. I was planning to take these home and replant them in my den.///[playful]I'll tell you what, you can stop by my shop later and I'll show you what I have. There should be some sort of herb or flower I can sell you that has the colors you and #npc_name_lainey# are looking for.","[shocked]Oh... Well, you see, I was actually wondering if you could show me where I could find those herbs and flowers myself.///[sad]I'm sorry. I want to support your shop, but we are tight on [yellow]Mews[/yellow] at the moment. I shouldn't have asked.",[angry]#npc_name_fliss#! What are you doing here? Did you just ask about that thing I said not to ask about??,"[sad]Sorry, I didn't mean to! I ran into #npc_name_alabaster# and I forgot you said not to ask.","[neutral]It's ok. C'mon, let's get going. I can make do with the paint that I already have. I'll just have to paint the sky [yellow]yellow[/yellow] or something.///[playful]Sorry for the trouble #npc_name_alabaster#.","[happy]Ok, #npc_name_lainey#! I'm coming! But I can find you some more supplies. I'll head out later tonight and bring back a whole sack full of flowers, just you wait and see!///[playful]So you better not work on that art project 'til I return.","[neutral]Hello #player_name#. Out for a walk? Did you see #npc_name_lainey# and #npc_name_fliss# run by a moment ago?///[happy]Surely you overheard our entire conversation. I want your input on something.///[playful]I have every intention of stopping by their den later with some complimentary flowers to help with the art project. Such creativity should be nurtured, don't you think?///[thinking]But perhaps it would be a better life lesson if #npc_name_fliss# puts in the hard work to find some flowers out in the wild. There's no substitute for real-world experience.///[neutral]Which course of action do you think is better, #player_name#?",Generosity!,Hard Work!,"[happy]Yes, that is what I was thinking as well. I have more than I need, so I am more than happy to share my excess with others.///[playful]I'll gather up some of my favorite flowers and bring them over to #npc_name_lainey# later today.///[thinking]I greatly admire your wisdom, #player_name#.","[neutral]Yes, I suppose that will be good for #npc_name_fliss#. I'll leave the two of them to sort things out.///[thinking]I'm certain #npc_name_fliss# will find plenty of beautiful flowers in no time.///[neutral]Thank you for sharing your wisdom, #player_name#.",,,,,,,,,,,,
alabasterandfliss2,.lang,events\lang\english\alabasterandfliss2.lang,"[happy]Thank you all for coming on such short notice.///[shocked]It can be ever so tricky to properly extract the seeds from #item_name_raspberries_good#, and as you can see, I have quite a few of them to work through.///[neutral]I appreciate each and every one of you for volunteering for the job.","[thinking]Yes, of course. I had a free afternoon and this seemed an excellent way to serve the residents of #colony_full_name_with_article#.",[angry]I can think of a couple better ways to spend an afternoon than getting my paws stained with berry juice...,"[shocked]Quiet, #npc_name_lainey#! You promised you'd help out! Remember?","[sad]Only because you wouldn't stop talking about it. You practically begged me to join.///[thinking]Whatever. I'm here, so let's get this over with.",[playful]Great! Allow me to demonstrate the technique...,"[happy]Oh, this is so much fun! Don't all of the #item_name_raspberries_good# smell delicious?","[thinking]There are quite a few, aren't there? This could take some serious time to complete.","[thinking]Yes, in truth, there are more than I had realized when I put out the call for extra paws.///[playful]If anyone wishes to leave, you are more than welcome to enjoy the rest of your day once you've wrapped up on your current handful of #item_name_raspberries_good#.",[playful]Don't need to tell me twice! I'm outta here!,,,"[shocked]Oh, it's alright, #npc_name_alabaster#. I can stay as long as you need. I don't mind helping.///[playful]You know, I'll bet #npc_name_alabaster# and I can finish up by ourselves. Why don't the rest of you go have some fun? It's no trouble, really.","[happy]That sounds like a good plan to me. #npc_name_elli#, let's find somewhere else to be.///[playful]#npc_name_alabaster#... #npc_name_fliss#... Good luck to you both.",,,,,,,,,,,,
alabasterandfliss3,.lang,events\lang\english\alabasterandfliss3.lang,"[thinking]For so long, I had thought that I had everything that I ever wanted. I felt so blessed.///[blushing]I have a warm den. I have a successful enterprise. I have a #colony_title# where I belong.///[sad]But I find myself unhappy and craving more. I don't think I will ever be happy again now that I know what it is that I lack.///[blushing]I cannot stop thinking about you. So I came here to make my intentions clear. I want you.",[playful]Woah. That was a lot. I hope you're talking to #npc_name_fliss# and not me.,[blushing]#npc_name_lainey#! Of course #npc_name_alabaster# wasn't talking to you. They were talking to... me.,"[blushing]You don't have to answer now, #npc_name_fliss#. But I needed you to know how I feel about you.///[neutral]You know where to find me if you feel the same way.",[blushing]... ... ...,"[happy]Hey look, #player_name# is here too! Well, that's awkward.///[playful]I guess #npc_name_alabaster# could have been talking about #player_name#, too?",[angry]#npc_name_lainey#!,"[playful]Sorry! You have to admit, it was funny though.",,,,,,,,,,,,,,,,,,
autumnfun,.lang,events\lang\english\autumnfun.lang,[neutral]Don't you just love autumn? The weather is great. And I love collecting all the pretty leaves that fall from the trees!///[happy]This is one of my favorite spots to find leaves. I like to bring them back to my den and put them on the walls. Adds a nice splash of color!,"[shocked]Yeah, I don't know if I love autumn as much as you do, #npc_name_elli#. All this pollen keeps getting in my nose and making me sneeze.///[angry][scary]ACHOOOO![/scary]","[happy]Wow, that was loud!///[neutral]Sorry to hear about your allergies. I understand if not every cat likes this season as much as me.///[playful]I think I've always loved this time of year since I was a kitten. What's your favorite season, #npc_name_garlic#?",[thinking]What's my favorite? Oh...///[happy]I guess I hadn't really thought about it! No one's asked me that before.,"[neutral]Wow, really? Well you should think about it. I have a favorite for just about every possible thing you could think about.///[playful]You can let me know which season you picked later, ok? I'm going to go find a snack.",,,,,,,,,,,,,,,,,,,,,
bobandbuttercup1,.lang,events\lang\english\bobandbuttercup1.lang,"[thinking]So anyhow, I was thinking I'd head down to the river and find some #item_name_trout# later. After my mid-day nap, of course.","[neutral]Yes, that sounds prudent. Last time I checked the stockpiles I noticed a distinct lack of [green]fish[/green]. Make sure you drop some off when you return to town.","[neutral]Sure thing, #npc_name_jag#. That's what I like about you, you're always thinking of what's best for others.","[angry]Ugh, I can't take it anymore. Is that all you talk about, #npc_name_bob#? Mid-day naps? Fishing? Taking care of others?///[thinking]Give me a break.","[sad]Oh, a thousand pardons #npc_name_charlotte#. I didn't mean to upset you, y'know.///[shocked]Maybe we can talk this out? Now, what exactly was it that I said that made you get all riled up?","[thinking]What did you [b]say[/b]? Nothing you [b]said[/b] offended me, it's... you. In general.///[angry]That goofy, happy-go-lucky look on your face. Your whole fake-happy vibe. Gross. You're too positive all the time. Cut it out and be grumpy like the rest of us.","[thinking]#npc_name_bob#, I've found it's usually best to ignore this one. That's the only thing I've found that gets #npc_name_charlotte# to go away.",[shocked]H--... Hey! That's... That's not very nice!!,"[thinking]Oh, look what the cat dragged in. Hello #npc_name_buttercup#.///[neutral]You really think you can stand up to me? And for what, to defend #npc_name_bob#? Are you serious right now?///[thinking]I thought keeping to yourself was kinda your whole thing.","[angry]Back it up, #npc_name_charlotte#. You sound like you're looking to pick a fight.",Talk it out,Fight! Fight!,"[angry]Yeah, I guess I am! Anything beats being bored. You want a fight, I'll fight!","[sad]Alright now everyone, let's settle down. There's no need to get nasty. We can talk about this, can't we?","[angry]What, are you too afraid to respond to me #npc_name_bob#? Ok fine, I'll go around telling everyone what a chicken you are. How's about that?",(It's getting heated up there! What should I do?),[angry]Leave #npc_name_bob# alone!,[angry]What's this? You brought backup? Cowards.,"[neutral]There's no need to fight. I'm willing to look past this and forgive. I know you were just bored. That's what this is really about, isn't it?///[thinking]Maybe #player_name# can find something productive for you to do.","[shocked]Wait, something [b]productive[/b]? Gross, I do not like the sound of that. That sounds... responsible! And helpful!///[angry]Literally could never be me. Alright, I'm out!///[thinking]But watch out. I'll come back around, just you wait.","[thinking]As you can see, #npc_name_charlotte#, you're outnumbered. We've got you four to one. Perhaps you'd like to reconsider your plan?","[angry]...Alright, you win. For now. You'd never beat me in a fair fight and we all know it.///[angry]I'll get my rematch! Just you wait.","[sad]Somethin' ain't right with that cat. Thanks for the help #npc_name_jag#. Thanks #player_name#. Much obliged, #npc_name_buttercup#.",,,
bobandbuttercup2,.lang,events\lang\english\bobandbuttercup2.lang,"[neutral]Now what are you doing out here all alone? I know a cat like you can take care of themself, but you sure look lonely to me.","[shocked]I, er... Uh--","[happy]Me, I was just out by the river doin' some fishin'. Nothing too fancy. Didn't even see a single [green]fish[/green].",[shocked]Sorry about that! If I had known--,[neutral]Now don't you worry about me. Ain't nothing to be sorry about.///[thinking]Sometimes there just ain't no fish to be found.,"[neutral]No, you don't understand. You didn't find any fish because I already caught them all! That's my bad.","[shocked]Well I'll be! That's great, #npc_name_buttercup#!///[happy]I didn't know you liked fishin' too.",[playful]I... err-- Yeah.///[happy]Do you want some?,[happy]If you don't mind sharin'.,[happy]Of course. Help yourself #npc_name_bob#. They're better fresh anyways.,,,,,,,,,,,,,,,,
bobandbuttercup3,.lang,events\lang\english\bobandbuttercup3.lang,"[blushing]Oh, hello there #player_name#. I was just heading out.///[happy]#npc_name_buttercup# and I were visiting for a spell. It was a wonderful evening, I really enjoyed getting to know you better, #npc_name_buttercup#. I greatly appreciate the invitation.///[neutral]Alright, I reckon it's high time I hit the road. Be seein' you.",[blushing]H--... Hey #player_name#. It's nice seeing you.,[thinking]Say... I wanted to ask you something. If that's alright with you!///[blushing]What do you think about #npc_name_bob#?,"[shocked]Oh, really?///[blushing]...Yeah, I can totally see that.///[neutral]I invited #npc_name_bob# over here so we could get to know each other better. That's the first time I invited... anyone over, really. Can you believe that?","[playful]We had such a lovely afternoon together. Somewhere along the way time got away from us and now it's evening.///[thinking]You know, I used to worry that I wouldn't have much of a social life after I moved out here to the Wildwood.///[blushing]With cats like #npc_name_bob# around, it's hard to imagine I used to feel that way.","[happy]Anyways, that's enough from me. You've always been such a great friend, lending an ear when I need it. I really needed it tonight.///[blushing]I can't wait 'til I see #npc_name_bob# again.",,,,,Coolest cat around!,Such a sweetheart.,,,,,,,,,,,,Bit of a flirt?,Overrated!,
butterflyfight,.lang,events\lang\english\butterflyfight.lang,[playful]There are many fresh herbs this summer. It is wonderful to see the plants flourishing across the land.,"[neutral]That is excellent to hear, #npc_name_alabaster#. A healthy supply of herbs means we can patch up our injured fighters better.","[neutral]Oh, I just love the smell of fresh herbs. Especially flowers.///[happy]It makes a cat's heart sing!","[playful]I remember when #npc_name_spark# was younger. #npc_name_spark# used to bring me back flowers from the meadows.///[thinking]Sometimes weeds as well, but it was a sweet gesture.","[angry]Give that back, #npc_name_spark#! I found it first. It's mine!","[angry]No, you were destroying it!",[angry]I was playing with it!,[angry]You were ripping its wings off!,[playful]So what?,"[thinking]What a ruckus, those young ones. Just running around wherever they please.",Give it back to Charlotte.,Spark is right.,[angry]No respect for their elders.,"[sad]A bit rough with nature as well, it seems. That [green]butterfly[/green] could have helped to pollinate the plants around town.",,"[sad]Oh, #npc_name_spark#...","[playful]Hey #player_name#, tell #npc_name_spark# to give me back my [green]butterfly[/green].///[angry]I found it first, fair and square! #npc_name_spark# stole it from me.",[shocked]No! #npc_name_charlotte# was hurting it!,"[thinking]It's just a bug. What do you say, #player_name#?",[angry]Fine. Whatever. I didn't even want it.,"[playful]Thanks, #player_name#. I promise I'll take good care of this [green]butterfly[/green].///[neutral]I'll play with it for a bit then release it back into the wild.","[playful]See? #player_name# sided with me.///[playful]Maybe you can have a [green]butterfly[/green] of your own someday, #npc_name_spark#... if you can ever catch one.","[thinking]Alright, I'm out. Catch you losers later.",,,
charlottetemper,.lang,events\lang\english\charlottetemper.lang,"[shocked]That was amazing, #npc_name_charlotte#! Those [purple]voidling cats[/purple] didn't know what hit them.","[neutral]Yeah, whatever. I did what I had to.","[neutral]#npc_name_charlotte#, I've seen you fight. You have talent. You could be really effective if you just applied yourself a little more.///[thinking]Maybe with some training...","[angry]You think I came all the way out here to listen to some nobody lecture me about how to live my life?///[thinking]For the record, I can take care of myself. I didn't ask for your help with those [purple]voidling cats[/purple].",[thinking]I was in the area and I heard a battle. It's my job to--,"[angry]To what? Be patronizing and annoying? No thank you.///[neutral]Next time you think you see me, pretend you didn't. Got it?",,,,,,,,,,,,,,,,,,,,
clinicintroduction,.lang,events\lang\english\clinicintroduction.lang,"[shocked]Ah, erm, #player_name#! Do please mind your steps and keep your voice down. Wouldn't want to wake this sleeping patient, now would we?///[neutral]This is, of course, the [purple]clinic[/purple]. I use this space to treat the sick and wounded.///[thinking]When I'm not on active duty I like to run scientific experiments in my storage room in the back. Word of advice, steer clear of that space if you wish to keep your whiskers intact!","[thinking]That was some nap! I feel like a new cat!///[happy]You were right, #npc_name_krampy#. All I needed was a little sleep and my headache cleared up on its own. Thank you for your advice.///[neutral]I'll take my leave now.","[neutral]#player_name#... If you are ever feeling ill, do what I did. Come and see doctor #npc_name_krampy#. You'll be back to full health in no time.///[thinking]Good day.","[happy]Another glowing review! You should have seen #npc_name_coco# mere minutes ago. Complaining of a splitting head pain...///[playful]I deduced that #npc_name_coco# was working too hard and simply needed a rest. It seems I was correct!///[neutral]Well, now you've seen the [purple]clinic[/purple] and know what I do best. Like #npc_name_coco# said, if you're ever feeling under the weather, come and see me. I can treat almost any malady!",,,,,,,,,,,,,,,,,,,,,,
