file,extension,path,lang_event_dialog_0,lang_event_dialog_1,lang_event_dialog_2,lang_event_dialog_3,lang_event_dialog_4,lang_event_dialog_5,lang_event_dialog_6,lang_event_dialog_7,lang_event_dialog_8,lang_event_dialog_9,lang_event_choice_1,lang_event_choice_2,lang_event_dialog_10,lang_event_dialog_11,lang_event_dialog_6a,lang_event_dialog_12,lang_event_dialog_13,lang_event_dialog_14,lang_event_dialog_15,lang_event_dialog_16,lang_event_dialog_17,lang_event_dialog_18,lang_event_dialog_19,lang_event_choice_3,lang_event_choice_4,lang_event_choice_5
alabasterandfliss1,.lang,events\lang\german\alabasterandfliss1.lang,"[neutral]Hey, #npc_name_alabaster#, ich habe dich gesucht.","[neutral]Oh? Was brauchst du, #npc_name_fliss#? Ich habe gerade die Blumen sortiert, die ich heute Morgen gepflückt habe.","[thinking]Perfekt. #npc_name_lainey# hat an einem neuen Kunstprojekt gearbeitet, aber die Farbe ist ausgegangen. Ich habe mich gefragt, ob einige dieser Pflanzen zur Herstellung von Farbstoffen verwendet werden könnten?","[thinking]Ah, ich verstehe. Diese Blumen sind nicht zum Färben geeignet. Ich hatte vor, sie mit nach Hause zu nehmen und sie in meiner Höhle neu zu pflanzen.///[playful]Ich sage dir was, du kannst später in meinem Laden vorbeischauen und ich zeige dir, was ich habe. Es sollte irgendein Kraut oder eine Blume geben, die ich dir verkaufen kann und die die Farben hat, die du und #npc_name_lainey# sucht.","[shocked]Oh ... nun, sieh mal, ich habe mich tatsächlich gefragt, ob du mir zeigen könntest, wo ich diese Kräuter und Blumen selbst finden könnte.///[sad]Es tut mir leid. Ich möchte deinen Laden unterstützen, aber wir sind im Moment knapp an [yellow]Miaus[/yellow]. Ich hätte nicht fragen sollen.","[angry]#npc_name_fliss#! Was machst du hier? Hast du gerade nach der Sache gefragt, nach der ich nicht fragen wollte?","[sad]Es tut mir leid, das war nicht meine Absicht! Ich bin auf #npc_name_alabaster# gestoßen und habe vergessen, dass du gesagt hast, ich soll nicht fragen.","[neutral]Ist schon gut. Komm schon, lass uns loslegen. Ich kann mit der Farbe auskommen, die ich bereits habe. Ich werde einfach den Himmel [yellow]gelb[/yellow] oder so malen müssen.///[playful]Entschuldigung für die Unannehmlichkeiten, #npc_name_alabaster#.","[happy]Okay, #npc_name_lainey#! Ich komme! Aber ich kann dir noch mehr Materialien besorgen. Ich werde heute später am Abend losgehen und einen ganzen Sack voller Blumen zurückbringen, warte nur ab!///[playful]Also du solltest besser nicht an diesem Kunstprojekt arbeiten, bis ich zurück bin.","[neutral]Hallo, #player_name#. Machen Sie einen Spaziergang? Haben Sie #npc_name_lainey# und #npc_name_fliss# eben vorbeirennen sehen?///[happy]Sicherlich haben Sie unser ganzes Gespräch mitbekommen. Ich möchte Ihre Meinung zu etwas hören.///[playful]Ich habe vor, später mit einigen kostenlosen Blumen zu ihrer Höhle zu gehen, um bei dem Kunstprojekt zu helfen. Solche Kreativität sollte gefördert werden, finden Sie nicht?///[thinking]Aber vielleicht wäre es eine bessere Lektion fürs Leben, wenn #npc_name_fliss# die harte Arbeit auf sich nimmt, um einige Blumen in der Wildnis zu finden. Es gibt keinen Ersatz für Erfahrungen in der realen Welt.///[neutral]Welche Vorgehensweise halten Sie für besser, #player_name#?",Großzügigkeit!,Harte Arbeit!,"[happy]Ja, das habe ich auch gedacht. Ich habe mehr als ich brauche, also teile ich gerne meinen Überschuss mit anderen.///[playful]Ich werde heute später einige meiner Lieblingsblumen sammeln und sie zu #npc_name_lainey# bringen.///[thinking]Ich bewundere Ihre Weisheit sehr, #player_name#.","[neutral]Ja, ich denke, das wird gut für #npc_name_fliss# sein. Ich werde das die beiden klären lassen.///[thinking]Ich bin sicher, #npc_name_fliss# wird im Pfotenumdrehen viele schöne Blumen finden.///[neutral]Danke, dass Sie Ihre Weisheit mit mir teilen, #player_name#.",,,,,,,,,,,,
alabasterandfliss2,.lang,events\lang\german\alabasterandfliss2.lang,"[happy]Vielen Dank, dass ihr alle so kurzfristig gekommen seid.///[shocked]Es kann ziemlich knifflig sein, die Samen aus #item_name_raspberries_good# ordnungsgemäß zu extrahieren, und wie ihr sehen könnt, habe ich eine ganze Menge davon zu bearbeiten.///[neutral]Ich schätze jeden einzelnen von euch, der sich für die Arbeit freiwillig gemeldet hat.","[thinking]Ja, natürlich. Ich hatte einen freien Nachmittag und dies schien eine ausgezeichnete Möglichkeit, den Bewohnern von #colony_full_name_with_article# zu dienen.","[angry]Ich kann mir ein paar bessere Möglichkeiten vorstellen, einen Nachmittag zu verbringen, als meine Pfoten mit Beerensaft zu beflecken ...","[shocked]Ruhe, #npc_name_lainey#! Du hast versprochen, dass du helfen würdest! Erinnerst du dich?","[sad]Nur, weil du nicht aufgehört hast, darüber zu reden. Du hast mich praktisch angefleht, mitzumachen.///[thinking]Wie auch immer. Ich bin hier, also lass uns das hinter uns bringen.",[playful]Prima! Lasst mich euch die Technik demonstrieren ...,"[happy]Oh, das macht so viel Spaß! Riechen nicht alle #item_name_raspberries_good# köstlich?","[thinking]Das sind ganz schön viele, nicht wahr? Das könnte einige Zeit in Anspruch nehmen.","[thinking]Ja, in der Tat sind es mehr, als ich dachte, als ich den Aufruf für zusätzliche Pfoten veröffentlicht habe.///[playful]Wenn jemand gehen möchte, seid ihr herzlich eingeladen zu gehen und den Rest eures Tages zu genießen, sobald ihr mit eurer aktuellen Handvoll #item_name_raspberries_good# fertig seid.",[playful]Das musst du mir nicht zweimal sagen! Ich bin weg!,,,"[shocked]Oh, das ist in Ordnung, #npc_name_alabaster#. Ich kann so lange bleiben, wie du willst. Es macht mir nichts aus zu helfen.///[playful]Weißt du, ich wette, #npc_name_alabaster# und ich können alleine fertig werden. Warum geht der Rest von euch nicht etwas Spaß haben? Es ist wirklich kein Problem.","[happy]Das klingt für mich nach einem guten Plan. #npc_name_elli#, lass uns einen anderen Ort suchen, wo wir bleiben können.///[playful]#npc_name_alabaster# ... #npc_name_fliss# ... Viel Glück euch beiden.",,,,,,,,,,,,
alabasterandfliss3,.lang,events\lang\german\alabasterandfliss3.lang,"[thinking]So lange dachte ich, dass ich alles hatte, was ich je wollte. Ich fühlte mich so gesegnet.///[blushing]Ich habe eine warme Höhle. Ich habe ein erfolgreiches Unternehmen. Ich gehöre zu #colony_title#.///[sad]Aber ich fühle mich unglücklich und verlange nach mehr. Ich glaube nicht, dass ich jemals wieder glücklich sein werde, jetzt, wo ich weiß, was mir fehlt.///[blushing]Ich kann nicht aufhören, an dich zu denken. Deshalb bin ich hierhergekommen, um meine Absichten klarzumachen. Ich will dich.","[playful]Wow. Das war viel. Ich hoffe, du redest mit #npc_name_fliss# und nicht mit mir.",[blushing]#npc_name_lainey#! Natürlich hat #npc_name_alabaster# nicht mit dir gesprochen. Du hast mit ... mir gesprochen.,"[blushing]Du musst jetzt nicht antworten, #npc_name_fliss#. Aber ich musste dir sagen, wie ich für dich empfinde.///[neutral]Du weißt, wo du mich finden kannst, wenn du genauso fühlst.",[blushing]... ... ...,"[happy]Hey schau mal, #player_name# ist auch hier! Das ist ja peinlich.///[playful]Ich nehme an, #npc_name_alabaster# könnte auch über #player_name# gesprochen haben?",[angry]#npc_name_lainey#!,"[playful]Entschuldigung! Du musst zugeben, es war lustig.",,,,,,,,,,,,,,,,,,
autumnfun,.lang,events\lang\german\autumnfun.lang,"[neutral]Magst du den Herbst nicht auch? Das Wetter ist großartig. Und ich liebe es, all die hübschen Blätter zu sammeln, die von den Bäumen fallen!///[happy]Dies ist einer meiner Lieblingsorte, um Blätter zu finden. Ich bringe sie gerne in meine Höhle und hänge sie an die Wände. Das gibt einen schönen Farbtupfer!","[shocked]Ja, ich weiß nicht, ob ich den Herbst so sehr liebe wie du, #npc_name_elli#. All dieser Pollen gelangt in meine Nase und lässt mich niesen.///[angry][scary]HATSCHI![/scary]","[happy]Wow, das war laut!///[neutral]Es tut mir leid, von deinen Allergien zu hören. Ich verstehe, wenn nicht jede Katze diese Jahreszeit so sehr mag wie ich.///[playful]Ich glaube, ich habe diese Jahreszeit schon immer geliebt, seit ich ein Kätzchen war. Was ist deine Lieblingsjahreszeit, #npc_name_garlic#?","[thinking]Was ist mein Favorit? Oh ...///[happy]Ich glaube, ich habe noch nie wirklich darüber nachgedacht! Das hat mich vorher noch niemand gefragt.","[neutral]Wirklich? Nun, du solltest darüber nachdenken. Ich habe einen Favoriten für so ziemlich alles, was du dir vorstellen kannst.///[playful]Du kannst mir später sagen, welche Jahreszeit du gewählt hast, okay? Ich gehe jetzt einen Snack suchen.",,,,,,,,,,,,,,,,,,,,,
bobandbuttercup1,.lang,events\lang\german\bobandbuttercup1.lang,"[thinking]Also, ich dachte, ich könnte später zum Fluss gehen und dort einige #item_name_trout# finden. Natürlich nach meinem Mittagsschlaf.","[neutral]Ja, das klingt vernünftig. Als ich das letzte Mal die Vorräte überprüft habe, bemerkte ich einen deutlichen Mangel an [green]Fisch[/green]. Stelle sicher, dass du einige ablieferst, wenn du in die Stadt zurückkehrst.","[neutral]Natürlich, #npc_name_jag#. Das mag ich an dir, du denkst immer an das Beste für andere.","[angry]Argh, ich kann es nicht mehr ertragen. Ist das alles, worüber du redest, #npc_name_bob#? Mittagsschlaf? Angeln? Sich um andere kümmern?///[thinking]Gib mir eine Pause.","[sad]Oh, tausendmal Verzeihung, #npc_name_charlotte#. Ich wollte dich nicht verärgern, weißt du.///[shocked]Vielleicht können wir das klären? Was genau habe ich gesagt, das dich so aufgebracht hat?","[thinking]Was hast du [b]gesagt[/b]? Nichts, was du [b]gesagt[/b] hast, hat mich beleidigt, es ist ... du. Im Allgemeinen.///[angry]Dieser alberne, sorglose Ausdruck auf deinem Gesicht. Deine ganze falsch-fröhliche Ausstrahlung. Widerlich. Du bist die ganze Zeit zu positiv. Hör auf damit und sei mürrisch wie der Rest von uns.","[thinking]#npc_name_bob#, ich habe die Erfahrung gemacht, dass es normalerweise am besten ist, sie zu ignorieren. Das ist das Einzige, was ich gefunden habe, das #npc_name_charlotte# dazu bringt, zu verschwinden.",[shocked]He ... hey! Das ... das ist nicht sehr nett!!!,"[thinking]Oh, schau mal, was die Katze hereingeschleppt hat. Hallo, #npc_name_buttercup#.///[neutral]Glaubst du wirklich, dass du dich gegen mich behaupten kannst? Und wofür, um #npc_name_bob# zu verteidigen? Meinst du das jetzt ernst?///[thinking]Ich dachte, du wolltest dich zurückhalten.","[angry]Nimm das zurück, #npc_name_charlotte#. Es klingt, als ob du Streit suchst.",Entschärfen,Kämpfe! Kämpfe!,"[angry]Ja, das mache ich wohl! Alles ist besser als Langeweile. Du willst einen Kampf, du bekommst einen Kampf!","[sad]Also gut ihr alle, beruhigen wir uns mal. Es besteht kein Grund, gemein zu werden. Wir können doch darüber reden, oder?","[angry]Was, hast du zu viel Angst, mir zu antworten, #npc_name_bob#? Okay gut, dann werde ich eben allen erzählen, was für ein Feigling du bist. Wie wär's damit?",(Es heizt sich auf dort oben! Was soll ich tun?),[angry]Lass #npc_name_bob# in Ruhe!,[angry]Was ist das? Ihr habt Verstärkung mitgebracht? Feiglinge.,"[neutral]Es gibt keinen Grund zu kämpfen. Ich bin bereit, darüber hinwegzusehen und zu vergeben. Ich weiß, du warst einfach nur gelangweilt. Darum geht es hier wirklich, oder?///[thinking]Vielleicht kann #player_name# etwas Produktives für dich finden, das du tun kannst.","[shocked]Warte, etwas [b]Produktives[/b]? Igitt, das klingt nicht gut. Das klingt ... verantwortungsbewusst! Und hilfreich!///[angry]Das könnte ich niemals sein. Also, ich bin dann mal weg!///[thinking]Aber pass auf. Ich komme wieder, warte nur ab.","[thinking]Wie du sehen kannst, #npc_name_charlotte#, du bist in der Unterzahl. Wir sind vier zu eins gegen dich. Vielleicht möchtest du deinen Plan überdenken?","[angry]... gut, du gewinnst. Für jetzt. Du würdest mich nie in einem fairen Kampf besiegen und das wissen wir alle.///[angry]Ich werde meine Revanche bekommen! Warte nur ab.","[sad]Mit dieser Katze stimmt etwas nicht. Danke für die Hilfe, #npc_name_jag#. Danke, #player_name#. Vielen Dank, #npc_name_buttercup#.",,,
bobandbuttercup2,.lang,events\lang\german\bobandbuttercup2.lang,"[neutral]Was machst du denn hier ganz alleine? Ich weiß, dass eine Katze wie du gut für sich selbst sorgen kann, aber du siehst ziemlich einsam aus.","[shocked]Ich, äh ... Uh ...",[happy]Ich war gerade am Fluss und habe ein bisschen geangelt. Nichts Besonderes. Ich habe nicht mal einen einzigen [green]Fisch[/green] gesehen.,[shocked]Entschuldigung! Wenn ich das gewusst hätte ...,"[neutral]Mach dir keine Sorgen um mich. Es gibt nichts, wofür du dich entschuldigen müsstest.///[thinking]Manchmal lassen sich einfach keine Fische finden.","[neutral]Nein, du verstehst nicht. Du hast keine Fische gefunden, weil ich sie alle schon gefangen habe! Das ist mein Fehler.","[shocked]Na sowas! Das ist großartig, #npc_name_buttercup#!///[happy]Ich wusste nicht, dass du auch gerne angelst.",[playful]Ich ... äh ... ja.///[happy]Möchtest du welche?,[happy]Wenn es dir nichts ausmacht zu teilen.,"[happy]Natürlich. Bedien dich, #npc_name_bob#. Sie sind sowieso besser, wenn sie frisch sind.",,,,,,,,,,,,,,,,
bobandbuttercup3,.lang,events\lang\german\bobandbuttercup3.lang,"[blushing]Oh, hallo, #player_name#. Ich wollte gerade gehen.///[happy]#npc_name_buttercup# und ich haben uns für eine Weile getroffen. Es war ein wunderbarer Abend, ich habe es wirklich genossen, dich besser kennenzulernen, #npc_name_buttercup#. Ich schätze die Einladung sehr.///[neutral]Also, ich denke, es ist höchste Zeit, dass ich mich auf den Weg mache. Bis dann.","[blushing]Ha ... hallo, #player_name#. Es ist schön, dich zu sehen.",[thinking]Sag mal ... Ich wollte dich etwas fragen. Wenn das für dich in Ordnung ist!///[blushing]Was hältst du von #npc_name_bob#?,"[shocked]Oh, wirklich?///[blushing] ... ja, das kann ich total verstehen.///[neutral]Ich habe #npc_name_bob# hierher eingeladen, damit wir uns besser kennenlernen können. Das ist das erste Mal, dass ich ... überhaupt jemanden eingeladen habe. Kannst du das glauben?","[playful]Wir hatten einen so schönen Nachmittag zusammen. Irgendwie ist die Zeit wie im Flug vergangen und jetzt ist es Abend.///[thinking]Weißt du, ich hatte früher Angst, dass ich nach meinem Umzug hierher nach Wildwood kaum noch ein Sozialleben haben würde.///[blushing]Mit Katzen wie #npc_name_bob# in der Nähe, ist es schwer vorstellbar, dass ich mich mal so gefühlt habe.","[happy]Wie auch immer, das ist genug von mir. Du warst immer ein so eine freundliche Katze, die ein offenes Ohr hat, wenn ich es brauche. Ich habe es heute Abend wirklich gebraucht.///[blushing]Ich kann es kaum erwarten, #npc_name_bob# wiederzusehen.",,,,,Coolste Katze in der Stadt!,So ein Schatz.,,,,,,,,,,,,Ein kleiner Flirt?,Überschätzt!,
butterflyfight,.lang,events\lang\german\butterflyfight.lang,"[playful]Es gibt viele frische Kräuter diesen Sommer. Es ist wunderbar, die Pflanzen überall im Land gedeihen zu sehen.","[neutral]Das ist ausgezeichnet zu hören, #npc_name_alabaster#. Ein gesunder Vorrat an Kräutern bedeutet, dass wir unsere verletzten Kampfkatzen besser versorgen können.","[neutral]Oh, ich liebe einfach den Duft von frischen Kräutern. Besonders Blumen.///[happy]Es lässt das Herz einer Katze singen!","[playful]Ich erinnere mich, als #npc_name_spark# jünger war. #npc_name_spark# brachte mir immer Blumen von den Wiesen mit.///[thinking]Manchmal auch Unkraut, aber es war eine süße Geste.","[angry]Gib das zurück, #npc_name_spark#! Ich habe es zuerst gefunden. Es gehört mir!","[angry]Nein, du hast es zerstört!",[angry]Ich habe damit gespielt!,[angry]Du hast ihm die Flügel abgerissen!,"[playful]Na, und?","[thinking]Was für ein Tumult, diese jungen Katzen. Sie rennen einfach herum, wo immer sie wollen.",Gib es Charlotte zurück.,Spark hat recht.,[angry]Kein Respekt vor den Älteren.,"[sad]Es scheint, dass du auch etwas rau mit der Natur umgehst. Dieser [green]Schmetterling[/green] hätte helfen können, die Pflanzen in der Stadt zu bestäuben.",,"[sad]Oh, #npc_name_spark# ...","[playful]Hey, #player_name#, sag #npc_name_spark#, er soll mir meinen [green]Schmetterling[/green] zurückgeben.///[angry]Ich habe ihn zuerst gefunden, ganz fair und anständig! #npc_name_spark# hat ihn mir gestohlen.",[shocked]Nein! #npc_name_charlotte# hat ihn verletzt!,"[thinking]Es ist nur ein Käfer. Was sagst du dazu, #player_name#?",[angry]Gut. Egal. Ich wollte ihn sowieso nicht.,"[playful]Danke, #player_name#. Ich verspreche, gut auf diesen [green]Schmetterling[/green] aufzupassen.///[neutral]Ich werde ein bisschen mit ihm spielen und ihn dann wieder in die Wildnis entlassen.","[playful]Siehst du? #player_name# hat sich auf meine Seite gestellt.///[playful]Vielleicht kannst du eines Tages auch einen [green]Schmetterling[/green] haben, #npc_name_spark# ... wenn du jemals einen fangen kannst.","[thinking]Also gut, ich bin raus. Wir sehen uns später, ihr Verlierer.",,,
charlottetemper,.lang,events\lang\german\charlottetemper.lang,"[shocked]Das war unglaublich, #npc_name_charlotte#! Diese [purple]Schattenkatzen[/purple] wussten nicht, was sie getroffen hat.","[neutral]Ja, was auch immer. Ich habe getan, was ich tun musste.","[neutral]#npc_name_charlotte#, ich habe dich kämpfen sehen. Du hast Talent. Du könntest wirklich effektiv sein, wenn du dich nur ein wenig mehr anstrengen würdest.///[thinking]Vielleicht mit etwas Training ...","[angry]Glaubst du, ich bin extra hierhergekommen, um mir von einem Niemand einen Vortrag darüber halten zu lassen, wie ich mein Leben leben soll?///[thinking]Zur Information, ich kann mich selbst versorgen. Ich habe nicht um deine Hilfe mit diesen [purple]Schattenkatzen[/purple] gebeten.",[thinking]Ich war in der Gegend und habe einen Kampf gehört. Es ist meine Aufgabe zu...,"[angry]Zu was? Herablassend und nervig zu sein? Nein danke.///[neutral]Das nächste Mal, wenn du glaubst, mich zu sehen, tu so, als hättest du es nicht. Verstanden?",,,,,,,,,,,,,,,,,,,,
clinicintroduction,.lang,events\lang\german\clinicintroduction.lang,"[shocked]Ah, ähm, #player_name#! Bitte achte auf deine Schritte und sprich leise. Wir wollen diese schlafende, kranke Katze doch nicht wecken, oder?///[neutral]Dies ist natürlich die [purple]Klinik[/purple]. Ich nutze diesen Raum, um Kranke und Verletzte zu behandeln.///[thinking]Wenn ich nicht im aktiven Dienst bin, führe ich gerne wissenschaftliche Experimente in meinem Lagerraum im Hinterzimmer durch. Ein Ratschlag, meide diesen Raum, wenn du deine Schnurrhaare intakt halten willst!","[thinking]Das war ein Nickerchen! Ich fühle mich wie eine neue Katze!///[happy]Du hattest recht, #npc_name_krampy#. Alles, was ich brauchte, war ein wenig Schlaf und meine Kopfschmerzen haben sich von selbst aufgelöst. Danke für deinen Rat.///[neutral]Ich werde mich jetzt verabschieden.","[neutral]#player_name# ... wenn du dich jemals krank fühlst, mach es wie ich. Geh zu Doktor #npc_name_krampy#. Du wirst im Nu wieder vollkommen gesund sein.///[thinking]Guten Tag.","[happy]Eine weitere strahlende Bewertung! Du hättest #npc_name_coco# vor wenigen Minuten sehen sollen. Sie klagte über starke Kopfschmerzen ...///[playful]Ich habe geschlussfolgert, dass #npc_name_coco# zu hart gearbeitet hat und einfach eine Pause brauchte. Es scheint, ich lag richtig!///[neutral]Nun, jetzt hast du die [purple]Klinik[/purple] gesehen und weißt, was ich am besten kann. Wie #npc_name_coco# sagte, wenn du dich jemals unwohl fühlst, komm zu mir. Ich kann fast jede Krankheit behandeln!",,,,,,,,,,,,,,,,,,,,,,
