file,extension,path,lang_furniture_name,lang_furniture_description
accentlamp,.lang,furniture\lang\english\accentlamp.lang,Accent Lamp,A modern take on a bedside lamp.
ancienttablet,.lang,furniture\lang\english\ancienttablet.lang,Ancient Tablet,"This tablet bears a curious inscription. It has been placed upon a large plinth, ready for an exhibition."
anvil,.lang,furniture\lang\english\anvil.lang,Anvil,Crafting station. Use this anvil to access the recipes from the Mole Forge at any time from your den.
artisteasel,.lang,furniture\lang\english\artisteasel.lang,Artist Easel,An easel made from light-stained wood planks. A blank canvas rests upon the shelf.
artistsupplies,.lang,furniture\lang\english\artistsupplies.lang,Artist Supplies,Want to create a masterpiece? This set has everything you need!
barbell,.lang,furniture\lang\english\barbell.lang,Barbell,That looks ridiculously heavy! How could any cat lift it?
barrel,.lang,furniture\lang\english\barrel.lang,Barrel,A round riveted barrel topped with a wooden lid.
basaltcolumn,.lang,furniture\lang\english\basaltcolumn.lang,Basalt Column,A cluster of volcanic basalt rock.
basicbed,.lang,furniture\lang\english\basicbed.lang,Basic Bed,Little more than a mattress on the floor with a scratchy old comforter.
bedsidelamp,.lang,furniture\lang\english\bedsidelamp.lang,Bedside Lamp,A human-made lamp with a light-diffusing shade.
birdcage,.lang,furniture\lang\english\birdcage.lang,Bird Cage,A tall brass bird cage on a stand that houses a cheerful Magpie.
blackcrystallamp,.lang,furniture\lang\english\blackcrystallamp.lang,Black Crystal Lamp,A peculiar lamp made with dried mud bricks adorned with deep black crystals that faintly glow from within.
bluetome,.lang,furniture\lang\english\bluetome.lang,Blue Tome,A thick book that contains knowledge on a wide variety of subjects.
bookstack,.lang,furniture\lang\english\bookstack.lang,Book Stack,"Several colorful books, lined up in a row. What do you suppose they're about?"
bouldergems,.lang,furniture\lang\english\bouldergems.lang,Boulder (Gems),A giant rock with visible crystals forming on the surface. What gems might hide inside?
boulderplain,.lang,furniture\lang\english\boulderplain.lang,Boulder (Plain),"A giant rock, hauled out of a dark cave."
brickfireplace,.lang,furniture\lang\english\brickfireplace.lang,Brick Fireplace,A warm hearth made of brick and stone. A cozy fire inside casts a warm glow all around.
bronzestructure,.lang,furniture\lang\english\bronzestructure.lang,Bronze Structure,A diminutive yet weighty piece of decor made from a single chaotically-looping bronze wire.
bugcollection,.lang,furniture\lang\english\bugcollection.lang,Bug Collection,Somebody spent a lot of time hunting down all these bugs and arranging them on this board!
campfire,.lang,furniture\lang\english\campfire.lang,Campfire,"A cheery fire, fueled by cut tree limbs. Casts a warm light on the area around it."
candle,.lang,furniture\lang\english\candle.lang,Candle,A wax candle on a brass stand. It oddly never seems to burn out.
cargobox,.lang,furniture\lang\english\cargobox.lang,Cargo Box,A wooden box for storing and shipping goods.
cargoboxempty,.lang,furniture\lang\english\cargoboxempty.lang,Cargo Box - Empty,A wooden box for storing and shipping goods. It is empty.
cargochest,.lang,furniture\lang\english\cargochest.lang,Cargo Chest,A long wooden box for storing and shipping goods.
carvedpumpkin,.lang,furniture\lang\english\carvedpumpkin.lang,Carved Pumpkin,"A festive pumpkin with a grim face carved into the front. A warm candle has been placed inside, making it grin with an ominous light."
catbed,.lang,furniture\lang\english\catbed.lang,Cat Bed,A circular cat bed with a red plaid exterior and a soft-walled interior. Perfect for curling up for a mid-day nap.
catplush,.lang,furniture\lang\english\catplush.lang,Cat Plush,"A small cat-shaped toy made of very soft fabric, stuffed with fluff."
caverock,.lang,furniture\lang\english\caverock.lang,Cave Rock,"A brown rock, like those you might encounter in a cave."
cavetable,.lang,furniture\lang\english\cavetable.lang,Cave Table,A low table made from a slab of cave rock.
celestiallamp,.lang,furniture\lang\english\celestiallamp.lang,Celestial Lamp,An otherworldly lantern that casts brilliant light. It's anyone's guess what it's made from.
certificate,.lang,furniture\lang\english\certificate.lang,Certificate,"A certificate of excellence, awarded only to the most accomplished of cats."
checkeredrug,.lang,furniture\lang\english\checkeredrug.lang,Checkered Rug,A rug woven with a repeating black-and-white pattern.
chemistryset,.lang,furniture\lang\english\chemistryset.lang,Chemistry Set,Several glass tubes containing volatile chemicals. Handle with care!
circlerug,.lang,furniture\lang\english\circlerug.lang,Circle Rug,A homely blue rug woven in a circular shape.
classicalcolumn,.lang,furniture\lang\english\classicalcolumn.lang,Classical Column,A tall column made from sturdy carved stone. It once held aloft a mighty roof.
classicalpedestal,.lang,furniture\lang\english\classicalpedestal.lang,Classical Pedestal,A short carved pedestal to place your prized possession upon for display.
classicalstatue,.lang,furniture\lang\english\classicalstatue.lang,Classical Statue,A stone statue of a human figure carrying a large piece of pottery.
classicalurn,.lang,furniture\lang\english\classicalurn.lang,Classical Urn,An ancient piece of pottery with an intricate pattern painted upon the outside of the basin.
clingingivy,.lang,furniture\lang\english\clingingivy.lang,Clinging Ivy,Lush ivy vines climbing on the wall.
colorfulgravel,.lang,furniture\lang\english\colorfulgravel.lang,Colorful Gravel,A layer of tiny multi-colored stones that look like they belong in an aquarium.
comfycushiongreen,.lang,furniture\lang\english\comfycushiongreen.lang,Comfy Cushion - Green,A square pillow with golden tassels made from rich green fabric.
comfycushionpurple,.lang,furniture\lang\english\comfycushionpurple.lang,Comfy Cushion - Purple,A square pillow with golden tassels made from rich purple fabric.
comfycushionred,.lang,furniture\lang\english\comfycushionred.lang,Comfy Cushion - Red,A square pillow with golden tassels made from rich red fabric.
comfycushionwhite,.lang,furniture\lang\english\comfycushionwhite.lang,Comfy Cushion - White,A square pillow with golden tassels made from rich white fabric.
