file,extension,path,item_uid_do_not_translate,lang_item_name,lang_item_definite_article,lang_item_indefinite_article,lang_item_demonstrative_article,lang_item_description
abyssaloreitem,.lang,items\lang\english\abyssaloreitem.lang,Abyssal Ore,Abyssal Ore,the,an,this,A dark clump of jet-black ore.
adderitem,.lang,items\lang\english\adderitem.lang,Adder,Adder,the,an,this,A venomous creature with dark markings.
alexandriteitem,.lang,items\lang\english\alexandriteitem.lang,Alexandrite,Alexandrite,the,an,this,A fabulously scarce jewel! It seems to shine either red or green under different lighting conditions.
amanitaitem,.lang,items\lang\english\amanitaitem.lang,Amanita,Amanita,the,an,this,"A mysterious redcap mushroom that comes in many varieties. Some are safe, some are not. Who knows what eating it will do?"
amberitem,.lang,items\lang\english\amberitem.lang,Amber,Amber,the,an,this,A gorgeous dark resin with shades of orange and gold.
amethystitem,.lang,items\lang\english\amethystitem.lang,Amethyst,Amethyst,the,an,this,Dazzling purple crystals shine from within this stone.
antlersaccessoryitem,.lang,items\lang\english\antlersaccessoryitem.lang,Antlers Accessory,Antlers,the,an,these,Festive reindeer antlers that remind you of snowy days.
anvilfurnitureitem,.lang,items\lang\english\anvilfurnitureitem.lang,Anvil Furniture,Anvil,the,an,this,Crafting station. Use this anvil to access the recipes from the Mole Forge at any time from your den.
aquamarineitem,.lang,items\lang\english\aquamarineitem.lang,Aquamarine,Aquamarine,the,an,this,A wondrous beryl shaded deep blue.
ashbeetleitem,.lang,items\lang\english\ashbeetleitem.lang,Ash Beetle,Ash Beetle,the,an,this,A large beetle with a muted green carapace.
autographitem,.lang,items\lang\english\autographitem.lang,Autograph,Autograph,the,an,this,A hastily-scribbled autograph from Zephyr.
autumn1recorditem,.lang,items\lang\english\autumn1recorditem.lang,Autumn 1 Record,Autumn 1,the,an,this,A music disc that you can play at your den record player. This track is a soothing autumntime tune.
autumn2recorditem,.lang,items\lang\english\autumn2recorditem.lang,Autumn 2 Record,Autumn 2,the,an,this,A music disc that you can play at your den record player. This track is a breezy autumntime tune.
autumn3recorditem,.lang,items\lang\english\autumn3recorditem.lang,Autumn 3 Record,Autumn 3,the,an,this,A music disc that you can play at your den record player. This track is a cool autumntime tune.
autumnfestivalrecorditem,.lang,items\lang\english\autumnfestivalrecorditem.lang,Autumn Festival Record,Autumn Festival,the,an,this,A music disc that you can play at your den record player. This track is an autumntime party tune.
bandeddarteritem,.lang,items\lang\english\bandeddarteritem.lang,Banded Darter,Banded Darter,the,a,this,"A slim, jewel-colored dragonfly. Named for the dark lines on its wings."
barbelitem,.lang,items\lang\english\barbelitem.lang,Barbel,Barbel,the,a,this,"A lightly colored freshwater fish with long, cat-like whiskers. A mouth-watering meal!"
barkbeetleitem,.lang,items\lang\english\barkbeetleitem.lang,Bark Beetle,Bark Beetle,the,a,this,A large beetle with dusty red elytra.
barrelfurnitureitem,.lang,items\lang\english\barrelfurnitureitem.lang,Barrel Furniture,Barrel,the,a,this,A round riveted barrel topped with a wooden lid.
bassitem,.lang,items\lang\english\bassitem.lang,Bass,Bass,the,a,this,A dark green freshwater fish with a big mouth.
batitem,.lang,items\lang\english\batitem.lang,Bat,Bat,the,a,this,A curious flying critter with large webbed wings.
battlepotionitem,.lang,items\lang\english\battlepotionitem.lang,Battle Potion,Battle Potion,the,a,this,"A bubbling tincture with a strong smell that fills a cat with rage, greatly increasing their combat prowess for a short time."
battlepotionrecipeitem,.lang,items\lang\english\battlepotionrecipeitem.lang,Battle Potion Recipe,Battle Potion Recipe,the,a,this,"A bubbling tincture with a strong smell that fills a cat with rage, greatly increasing their combat prowess for a short time."
beakyaccessoryitem,.lang,items\lang\english\beakyaccessoryitem.lang,Beaky Accessory,Beaky,the,a,this,An odd mask made of a weathered material with a slender beak-like nose. Some believe it can protect the wearer from foul miasmas.
beeitem,.lang,items\lang\english\beeitem.lang,Bee,Bee,the,a,this,This tiny insect packs a punch! Mind the venomous stinger.
bellaccessoryitem,.lang,items\lang\english\bellaccessoryitem.lang,Bell Accessory,Bell,the,a,this,A golden bell hanging on a narrow chain.
bendycurioitem,.lang,items\lang\english\bendycurioitem.lang,Bendy Curio,Bendy Curio,the,a,this,"A lightweight hollow plastic tube, bent at one end."
birdcagefurnitureitem,.lang,items\lang\english\birdcagefurnitureitem.lang,Bird Cage Furniture,Bird Cage,the,a,this,A tall brass bird cage on a stand that houses a cheerful Magpie.
bismuthitem,.lang,items\lang\english\bismuthitem.lang,Bismuth,Bismuth,the,a,this,A curious stone with many sharp angles and a multicolored hue.
blackberriesfairitem,.lang,items\lang\english\blackberriesfairitem.lang,Blackberries [Fair],Blackberries,the,a,these,Dark berries that can gratify the pickiest of palates.
blackberriesgooditem,.lang,items\lang\english\blackberriesgooditem.lang,Blackberries [Good],Blackberries,the,a,these,Dark berries that can placate the pickiest of palates.
blackberriespooritem,.lang,items\lang\english\blackberriespooritem.lang,Blackberries [Poor],Blackberries,the,a,these,Dark berries that can satisfy the pickiest of palates.
blackberriesseedsitem,.lang,items\lang\english\blackberriesseedsitem.lang,Blackberries Seeds,Blackberry Seeds,the,a,these,Tiny purple seeds yielded from a blackberry. Sow these in the garden and watch them grow!
blackberriesseedsrecipeitem,.lang,items\lang\english\blackberriesseedsrecipeitem.lang,Blackberries Seeds Recipe,Blackberry Seeds Recipe,the,a,this,Grow blackberries in your garden with these seeds! Blackberries make for a lovely snack.
blackcavecricketitem,.lang,items\lang\english\blackcavecricketitem.lang,Black Cave Cricket,Black Cave Cricket,the,a,this,"An odd critter with pale, blind eyes. Not much use for eyesight where these live deep underground!"
blackcrystallampfurnitureitem,.lang,items\lang\english\blackcrystallampfurnitureitem.lang,Black Crystal Lamp Furniture,Black Crystal Lamp,the,a,this,A peculiar lamp made with dried mud bricks adorned with deep black crystals that faintly glow from within.
blackfireflyitem,.lang,items\lang\english\blackfireflyitem.lang,Black Firefly,Black Firefly,the,a,this,A curious summer bug that swallows light around it. Some believe that a visit from this creature is an evil omen.
blackladybugitem,.lang,items\lang\english\blackladybugitem.lang,Black Ladybug,Black Ladybug,the,a,this,An odd little bug with gray spots.
blackroseitem,.lang,items\lang\english\blackroseitem.lang,Black Rose,Black Rose,the,a,this,An ugly wilted flower that nobody likes to see. Give to a cat to end your relationship.
blueberriesfairitem,.lang,items\lang\english\blueberriesfairitem.lang,Blueberries [Fair],Blueberries,the,a,these,A brilliant cluster of small berries on a bright green stem.
blueberriesgooditem,.lang,items\lang\english\blueberriesgooditem.lang,Blueberries [Good],Blueberries,the,a,these,An azure cluster of small berries on a bright green stem.
blueberriespooritem,.lang,items\lang\english\blueberriespooritem.lang,Blueberries [Poor],Blueberries,the,a,these,A colorful cluster of small berries on a bright green stem.
blueberriesseedsitem,.lang,items\lang\english\blueberriesseedsitem.lang,Blueberries Seeds,Blueberry Seeds,the,a,these,Large light brown seeds yielded from a blueberry. Sow these in the garden and watch them grow!
blueberriesseedsrecipeitem,.lang,items\lang\english\blueberriesseedsrecipeitem.lang,Blueberries Seeds Recipe,Blueberry Seeds Recipe,the,a,this,Grow blueberries in your garden with these seeds! Blueberries make for a tasty snack.
bluejayitem,.lang,items\lang\english\bluejayitem.lang,Bluejay,Bluejay,the,a,this,A legendary sapphire bird. It smells delicious!
blueladybugitem,.lang,items\lang\english\blueladybugitem.lang,Blue Ladybug,Blue Ladybug,the,a,this,"An impressive blue bug with black spots. Many cats believe they're mythical, but you managed to find one!"
bouldergemsfurnitureitem,.lang,items\lang\english\bouldergemsfurnitureitem.lang,Boulder Gems Furniture,Boulder (Gems),the,a,this,A huge rock with visible crystals forming on the surface. What gems might hide within?
boulderplainfurnitureitem,.lang,items\lang\english\boulderplainfurnitureitem.lang,Boulder Plain Furniture,Boulder (Plain),the,a,this,A huge rock hauled out of a dark cave.
bouncycurioitem,.lang,items\lang\english\bouncycurioitem.lang,Bouncy Curio,Bouncy Curio,the,a,this,Drop it and watch it rebound from the ground!
bowaccessoryitem,.lang,items\lang\english\bowaccessoryitem.lang,Bow Accessory,Bow,the,a,this,A pretty pink bow to set atop your head.
bowtieaccessoryitem,.lang,items\lang\english\bowtieaccessoryitem.lang,Bowtie Accessory,Bowtie,the,a,this,A formal black bowtie to put around your neck.
brightinsigniaitem,.lang,items\lang\english\brightinsigniaitem.lang,Bright Insignia,Bright Insignia,the,a,this,A symbol of great authority. Use to immediately gain 100% influence in your current region. Consumed on use.
brightinsigniarecipeitem,.lang,items\lang\english\brightinsigniarecipeitem.lang,Bright Insignia Recipe,Bright Insignia Recipe,the,a,this,Unlocks a new recipe at the Mole Forge anvil. These symbols of authority can be used to immediately gain 100% influence in a region. Consumed on use.
brightstoneitem,.lang,items\lang\english\brightstoneitem.lang,Brightstone,Brightstone,the,a,this,A true Brightstone! Many geologists believe this gemstone to be mythic. The rarest of all minerals!
bronzestructurefurnitureitem,.lang,items\lang\english\bronzestructurefurnitureitem.lang,Bronze Structure Furniture,Bronze Structure,the,a,this,A diminutive yet weighty piece of decor made from a single chaotically-looping bronze wire.
