file,extension,path,lang_mail_subject,lang_mail_content_header,lang_mail_content_body,lang_mail_content_signature
anonymousgift,.lang,mail\lang\english\anonymousgift.lang,Favorable Tidings,"Most Honorable #player_name#,","Your ways are well-known among the stars, and your spirit is held in high regards. You have gathered powerful friends in lofty places. Please accept this small tribute to your greatness.",~???
anonymouswarning,.lang,mail\lang\english\anonymouswarning.lang,WaRNinG,#player_name#:,BeWAre! YoU ArE DabBliNG wITh FoRCes YoU Do noT UnDErstAnd. Do NOt conTinUE tO PurSUe ThE BeAKeD OnE oR PunishMeNT wIll ArRiVE!!,~???
autumnalert,.lang,mail\lang\english\autumnalert.lang,Autumn is Here!,"Hi #player_name#,","Can you feel the wind in your fur? As the weather gets colder, everything begins to slow down in the wild. Take some time to stock up on prey and herbs before the snow begins to fall and you'll thank yourself later. Also, keep an eye out for wild mushrooms!",From #npc_name_coco#
coldbuttercup,.lang,mail\lang\english\coldbuttercup.lang,I'm cold,Hi #player_name#:,"I'm really cold. Is it chillier than usual this year? I've had it with all this snow. I'm ready to be warm again. Hey, if you find anything warm, bring it my way OK?",From #npc_name_buttercup#
congratskittensbob,.lang,mail\lang\english\congratskittensbob.lang,Fancy that.,Is it true?,"Heard you're going to be mighty busy over the next few months! Hard to remember last time I heard of a cat having four kittens at once. What a blessing it must be. Anyways, here's a meal in case you haven't found the time to go out hunting recently.",Best of luck! From #npc_name_bob#
congratskittenschamp,.lang,mail\lang\english\congratskittenschamp.lang,More of you?,'Sup #player_name#.,"Woah, your family's getting pretty big! Six of you now? That's wild. Well, here's some cash for your expenses and all that. Good luck, I think you'll need it.",Sounds expensive! -#npc_name_champ#
congratskittenscharlotte,.lang,mail\lang\english\congratskittenscharlotte.lang,Found Toy,Hey,"I heard you have kids now. Cool. Anyways, I found this toy while I was out on a walk. Thought maybe it was yours. Keep it anyways, I don't want it. Isn't really my thing.",from #npc_name_charlotte#
congratskittenscoco,.lang,mail\lang\english\congratskittenscoco.lang,New Kittens,I just heard the news!,"I don't know when you'll have time to read this letter, but I wanted to reach out and express my happiness at hearing about the birth of your children. How does it feel to be a parent?","What a joy! Sincerely, #npc_name_coco#."
congratskittensember,.lang,mail\lang\english\congratskittensember.lang,What a joy!,"Dear #player_name#,","I heard you welcomed four new kittens into the world! What a joy. If you ever need advice, please come find me. I know how difficult it can be at first. (P.S.-- Peppermint does wonders if your little ones aren't sleeping well!)",Don't be a stranger! #npc_name_ember#
congratskittensrosemary,.lang,mail\lang\english\congratskittensrosemary.lang,Yooohooo!!,I simply MUST have all the details!,"Kittens? And FOUR of them? Oh my, you've had quite the litter, haven't you? I need you to come by and tell me all about them ASAP, m'kay?? I've attached a small bribe. I think it is fitting. Hurry up now, hon!",Tell me everything! -#npc_name_rosemary#
congratskittenstalon,.lang,mail\lang\english\congratskittenstalon.lang,Our ranks swell,#player_name#:,"The latest reports indicate that you've had a litter of kittens. Good, our town will have need of a new strong generation to bolster our front lines.",Congratulations. #npc_name_talon#
congratulationsfromalabaster,.lang,mail\lang\english\congratulationsfromalabaster.lang,Newlyweds!,"Dear #player_name#,",Let me be the first to say congratulations on your recent marriage! I know you two will be very happy together. I can see it on your faces when you wander by that you are madly in love. I have attached a small gift to celebrate.,"Your friend, #npc_name_alabaster#"
congratulationsfrombob,.lang,mail\lang\english\congratulationsfrombob.lang,Congratulations!,"To #player_name#,",You're a married cat now! Congratulations. I know that you both will find your lives enriched by your love for each other. I've included a wedding present in this letter.,Don't be a stranger! #npc_name_bob#
congratulationsfromgarlic,.lang,mail\lang\english\congratulationsfromgarlic.lang,Thanks for the Invite,"Hi again,","That was some wedding. Thanks for the invite, I had a great time. You two look very cute together, I'm glad you found each other. Oh, and I forgot to give you your wedding present at the ceremony so here it is. Sorry about that.",#npc_name_garlic#
emberredrose,.lang,mail\lang\english\emberredrose.lang,Red Rose,New item in stock!,Red Roses are now available at the shop! These romantic flowers are a great way to express your true feelings. Give one to that special someone if you'd like to start dating. Fingers crossed that they accept!,Good luck! -#npc_name_ember#.
embershinytrinket,.lang,mail\lang\english\embershinytrinket.lang,Shiny Trinket,New item in stock!,"I've just received a shipment of Shiny Trinkets, beautiful gold rings that are highly prized by cats in love! Tradition holds that you must give one to a cat that you are dating to propose marriage.",Now available! -#npc_name_ember#.
fanmailzephyr,.lang,mail\lang\english\fanmailzephyr.lang,You know them??,I heard you know Zephyr IRL?,"Woah, that's super cool! I can't believe you actually like, talk to Zephyr and stuff. I'm so jealous! What are they like? You HAVE to spill all the details! Wait 'til the rest of the club hears about this. They're going to flip!",-President of the Zephyr Fan Club
fanmailzephyrdating,.lang,mail\lang\english\fanmailzephyrdating.lang,NoOOOooOOo!,Are you kidding me??,"You're dating Zephyr?? NooOOO! The universe is so UNFAIR! Like, I was meant to be with them. I have all the merch and all the magazines and everything. Ugh, this sucks!! I'm SO UPSET",A Crying Fan (hope you're happy)
festivaltoday,.lang,mail\lang\english\festivaltoday.lang,Festival Today!,Good day to you #player_name#!,"Today is the Spring Festival! I sure hope you'll join us at the Festival Plaza, just north of town, for the festivities. There's games to be played and prizes to be won! I've attached some complimentary Festival Tokens to this letter. See you there!",-#npc_name_coco#
gardeningintroalabaster,.lang,mail\lang\english\gardeningintroalabaster.lang,Gardening...,Hello #player_name#!,I enjoyed the opportunity to meet you earlier. I wanted to gift you a couple seeds so that you can try your paw at gardening. It can be quite fun (and rewarding!) Talk to me if you have any questions. I would be delighted to help.,"With regards, #npc_name_alabaster#"
glimmerdonated15curios,.lang,mail\lang\english\glimmerdonated15curios.lang,A True Exhibit,#player_name#...,"Oh ho ho! The Museum is finally shaping up, in no small part thanks to your efforts! You've donated 15 Curios. Well done!","~#npc_name_glimmer#, Museum Curator"
glimmerdonated1curio,.lang,mail\lang\english\glimmerdonated1curio.lang,Your Donation,#player_name#...,"Thank you for your Curio donation! The Museum is always looking for additional items of interest to exhibit. If you find more, please bring them to me. Attached is a small token of my appreciation.","~#npc_name_glimmer#, Museum Curator"
glimmerdonated25curios,.lang,mail\lang\english\glimmerdonated25curios.lang,Nearing Completion,#player_name#...,25 Curios are now proudly displayed in the Museum gallery! That only leaves 5 undiscovered. I'm saving a handsome reward for you if you should manage to track the last few down and donate them...,"~#npc_name_glimmer#, Museum Curator"
glimmerdonated30curios,.lang,mail\lang\english\glimmerdonated30curios.lang,Gallery Complete!,#player_name#...,"Once again, thank you for your generous donations. All 30 Curios are now proudly exhibited in the Museum Gallery. Stop by any time you'd like to see them on display.","~#npc_name_glimmer#, Museum Curator"
glimmerdonated5curios,.lang,mail\lang\english\glimmerdonated5curios.lang,Donation Drive,#player_name#...,"By the stars! If I'm not mistaken, you've donated 5 Curios to the Museum. We appreciate your continued support for your local institutions. Keep us in mind if you discover more Curios.","~#npc_name_glimmer#, Museum Curator"
glimmermuseumintro,.lang,mail\lang\english\glimmermuseumintro.lang,Museum,#player_name#...,"It is I, #npc_name_glimmer#, the esteemed curator! The Museum is now open to the public. If you find any Curios, please bring them to the table in the Museum to identify them. Consider donating your Curios to support the Museum!",Curiosity is everything! ~#npc_name_glimmer#
greatfriendalabaster,.lang,mail\lang\english\greatfriendalabaster.lang,From the Garden,Hello #player_name#!,"I spent my afternoon planting herbs and had a few extra seeds at the end of the day. That's when I thought of you! Can you use these? Either way, they now belong to you.","With regards, #npc_name_alabaster#"
greatfriendelli,.lang,mail\lang\english\greatfriendelli.lang,Hey best friend!,Hi #player_name#!,When I woke up this morning I couldn't stop thinking about all that you've done for me. You've really been super great and I'm honored to call you my friend. I hope we stay friends for a very long time.,"Your friend, #npc_name_elli#"
greatfriendember,.lang,mail\lang\english\greatfriendember.lang,Hi friend!,How are you doing?,Just wanted to say that you're a spectacular cat. You are so nice and you brighten my day every time I see you walk by. You have a unique way of making every cat feel very special when you talk to them. It's very admirable.,"Sincerely, #npc_name_ember#"
greatfriendjag,.lang,mail\lang\english\greatfriendjag.lang,"Thank you, #player_name#.","#player_name#,","I've been debating writing this letter for a long time, but it needs to be said. Thank you for taking the time to get to know me. I know I can come across very rough, but you saw past all that and have treated me better than any cat I've ever known.",I appreciate you! -#npc_name_jag#
greatfriendphantom,.lang,mail\lang\english\greatfriendphantom.lang,Hey buddy!,How's it going?,I wanted to write to let you know how much I value your friendship. You have been so kind to me. I wish that every cat in the whole world were just like you.,Your friend! #npc_name_phantom#
happybirthdayfromalabaster,.lang,mail\lang\english\happybirthdayfromalabaster.lang,Birthday Wishes,"Dearest #player_name#,","Today is your birthday, is it not? I hope you have an excellent day full of relaxation and good company. Best wishes to you on this celebratory occasion.","Yours truly, #npc_name_alabaster#"
happybirthdayfrombob,.lang,mail\lang\english\happybirthdayfrombob.lang,Your Day!,Howdy #player_name#!,Everything's a little brighter than usual on your birthday. It's no bad thing to take some time to celebrate a cat as awesome as you!,"Your neighbor & friend, #npc_name_bob#"
happybirthdayfrombuttercup,.lang,mail\lang\english\happybirthdayfrombuttercup.lang,Special Day,"Hey,","It's your birthday? I sure hope this letter arrived on the right day. I tried to time it and I think I got it right but you never really know. It's making me anxious. Anyways, whenever you get this, hope you have a sweet birthday.",From #npc_name_buttercup#
happybirthdayfromcharlotte,.lang,mail\lang\english\happybirthdayfromcharlotte.lang,Birthday Card,"Hey,","I heard a rumor that today's your birthday. If that's true, I hope it's a good one. A cat as unique as you deserves to have a day all to themselves once in a while.",From #npc_name_charlotte#
