file,extension,path,lang_region_name
alabasterden,.lang,map\lang\spanish\alabasterden.lang,Guarida de Alabaster
aridplains,.lang,map\lang\spanish\aridplains.lang,Planicies áridas
ashenknolls,.lang,map\lang\spanish\ashenknolls.lang,Colinas cenicientas
badlandsmaze,.lang,map\lang\spanish\badlandsmaze.lang,Laberinto de las tierras yermas
beacheast,.lang,map\lang\spanish\beacheast.lang,Este de la playa
beachsidewoods,.lang,map\lang\spanish\beachsidewoods.lang,Bosque junto a la playa
beachwest,.lang,map\lang\spanish\beachwest.lang,Oeste de la playa
birchholt,.lang,map\lang\spanish\birchholt.lang,Monte de abedules
birchlake,.lang,map\lang\spanish\birchlake.lang,Lago con abedules
blossomingfield,.lang,map\lang\spanish\blossomingfield.lang,Campo floreciente
bobden,.lang,map\lang\spanish\bobden.lang,Guarida de Bob
buttercupden,.lang,map\lang\spanish\buttercupden.lang,Guarida de Buttercup
caldera,.lang,map\lang\spanish\caldera.lang,Caldera
centralmeadow,.lang,map\lang\spanish\centralmeadow.lang,Centro de la pradera
chainoflakes,.lang,map\lang\spanish\chainoflakes.lang,Cadena de lagos
champden,.lang,map\lang\spanish\champden.lang,Guarida de Champ
charlotteden,.lang,map\lang\spanish\charlotteden.lang,Guarida de Charlotte
claypits,.lang,map\lang\spanish\claypits.lang,Canteras de arcilla
cocoden,.lang,map\lang\spanish\cocoden.lang,Guarida de Coco
crater,.lang,map\lang\spanish\crater.lang,Cráter
creepinghollow,.lang,map\lang\spanish\creepinghollow.lang,Hondonada escalofriante
darkruins1,.lang,map\lang\spanish\darkruins1.lang,Ruinas Oscuras
darkruins2,.lang,map\lang\spanish\darkruins2.lang,Ruinas de Pena
darkruins3,.lang,map\lang\spanish\darkruins3.lang,Ruinas de la Reclusión
darkruins4,.lang,map\lang\spanish\darkruins4.lang,Ruinas de la Ira
eastcentral,.lang,map\lang\spanish\eastcentral.lang,Centro este
eastfoothills,.lang,map\lang\spanish\eastfoothills.lang,Este de las colinas
eastforest,.lang,map\lang\spanish\eastforest.lang,Bosque del este
elliden,.lang,map\lang\spanish\elliden.lang,Guarida de Elli
emberandsparkden,.lang,map\lang\spanish\emberandsparkden.lang,Emporio de Ember
festivalminigamegrounds,.lang,map\lang\spanish\festivalminigamegrounds.lang,Arena del Festival
festivalplaza,.lang,map\lang\spanish\festivalplaza.lang,Plaza del Festival
flissandlaineyden,.lang,map\lang\spanish\flissandlaineyden.lang,Guarida de Fliss y Lainey
garlicden,.lang,map\lang\spanish\garlicden.lang,Guarida de Garlic
glimmerden,.lang,map\lang\spanish\glimmerden.lang,Museo de Glimmer
jagden,.lang,map\lang\spanish\jagden.lang,Guarida de Jag
krampyden,.lang,map\lang\spanish\krampyden.lang,Clínica de Krampy
meadowoutskirts,.lang,map\lang\spanish\meadowoutskirts.lang,Alrededores de la pradera
mineroom,.lang,map\lang\spanish\mineroom.lang,Mina
molecave,.lang,map\lang\spanish\molecave.lang,Cueva de topos
mountainlake,.lang,map\lang\spanish\mountainlake.lang,Lago de la montaña
mountainsummit,.lang,map\lang\spanish\mountainsummit.lang,Cima de la montaña
northernwastes,.lang,map\lang\spanish\northernwastes.lang,Páramo septentrional
northfloodplain,.lang,map\lang\spanish\northfloodplain.lang,Llanura inundada del norte
northfoothills,.lang,map\lang\spanish\northfoothills.lang,Norte de las colinas
northmeadow,.lang,map\lang\spanish\northmeadow.lang,Norte de la pradera
oceancentral,.lang,map\lang\spanish\oceancentral.lang,Centro del océano
oceaneast,.lang,map\lang\spanish\oceaneast.lang,Este del océano
oceanisland,.lang,map\lang\spanish\oceanisland.lang,Isla oceánica
oceansoutheast,.lang,map\lang\spanish\oceansoutheast.lang,Sudeste del océano
oceansouthwest,.lang,map\lang\spanish\oceansouthwest.lang,Sudoeste del océano
oceanwest,.lang,map\lang\spanish\oceanwest.lang,Oeste del océano
phantomden,.lang,map\lang\spanish\phantomden.lang,Guarida de Phantom
playercolony,.lang,map\lang\spanish\playercolony.lang,#colony_full_name_capitalized_with_article#
playerden,.lang,map\lang\spanish\playerden.lang,Guarida de #player_name#
riverdell,.lang,map\lang\spanish\riverdell.lang,Cañada del río
rivervale,.lang,map\lang\spanish\rivervale.lang,Valle del río
rosemaryden,.lang,map\lang\spanish\rosemaryden.lang,Guarida de Rosemary
sanctumofthewildwoodchampion,.lang,map\lang\spanish\sanctumofthewildwoodchampion.lang,Santuario del Adalid de Wildwood
scorcheddesert,.lang,map\lang\spanish\scorcheddesert.lang,Desierto abrasador
southcentral,.lang,map\lang\spanish\southcentral.lang,Centro sur
southfoothills,.lang,map\lang\spanish\southfoothills.lang,Sur de las colinas
southglade,.lang,map\lang\spanish\southglade.lang,Claro de bosque meridional
strangetarn,.lang,map\lang\spanish\strangetarn.lang,Laguna extraña
swampcorner,.lang,map\lang\spanish\swampcorner.lang,Rincón del pantano
swampnorth,.lang,map\lang\spanish\swampnorth.lang,Norte del pantano
talonden,.lang,map\lang\spanish\talonden.lang,Guarida de Talon
temple,.lang,map\lang\spanish\temple.lang,Templo de Centinela del Bosque
templeeast,.lang,map\lang\spanish\templeeast.lang,Salón de estatuas - este
templeofthewildwoodchampion,.lang,map\lang\spanish\templeofthewildwoodchampion.lang,Templo del Adalid de Wildwood
templewest,.lang,map\lang\spanish\templewest.lang,Salón de estatuas - oeste
theconfluence,.lang,map\lang\spanish\theconfluence.lang,La Confluencia
thegrimclearing,.lang,map\lang\spanish\thegrimclearing.lang,Claro sombrío
theoldfarm,.lang,map\lang\spanish\theoldfarm.lang,La Vieja Granja
thestaunchstones,.lang,map\lang\spanish\thestaunchstones.lang,Las Piedras Firmes
thicketburrows,.lang,map\lang\spanish\thicketburrows.lang,Madrigueras del matorral
umbraden,.lang,map\lang\spanish\umbraden.lang,Guarida de Umbra
volcanicbasin,.lang,map\lang\spanish\volcanicbasin.lang,Cuenca volcánica
westcentral,.lang,map\lang\spanish\westcentral.lang,Centro oeste
westernwastes,.lang,map\lang\spanish\westernwastes.lang,Páramo occidental
westfoothills,.lang,map\lang\spanish\westfoothills.lang,Oeste de las colinas
westmeadow,.lang,map\lang\spanish\westmeadow.lang,Oeste de la pradera
westwoodland,.lang,map\lang\spanish\westwoodland.lang,Arboleda del oeste
wetlandestuary,.lang,map\lang\spanish\wetlandestuary.lang,Estuario del humedal
wilderness,.lang,map\lang\spanish\wilderness.lang,Tierra salvaje
woodedbog,.lang,map\lang\spanish\woodedbog.lang,Ciénaga boscosa
zephyrden,.lang,map\lang\spanish\zephyrden.lang,Guarida de Zephyr
