file,extension,path,lang_task_title,lang_task_description,lang_task_in_progress_dialog,lang_task_complete_dialog
abirdinthepaw,.lang,tasks\lang\english\abirdinthepaw.lang,A Bird in the Paw,"I'm in the mood for some Wrens to snack on. If anyone is headed out into the forest later, could you find a couple for me? Thanks.","[neutral][green]Wrens[/green] are small birds with round bodies and short legs. They're easy to identify once you find one, but can be hard to spot at first.///[happy]Luckily they're quite common so you shouldn't have too much trouble tracking a few down. I'd imagine a cat of your skill could find a [green]Wren[/green] very quickly.","[happy]Wonderful! Just what I ordered. These [green]Wrens[/green] will do nicely for an afternoon snack.///[neutral]I thank you for your hard work, #player_name#. Here's your [green]Task Tokens[/green] as a reward."
acompetition,.lang,tasks\lang\english\acompetition.lang,A Competition,Calling all cats! I'm hosting a competition to see who can catch prey the quickest. Whoever wins will be rewarded and can keep what they catch.,"[playful]You're here asking about the competition? I thought you'd be out in the wilderness finding prey to catch. That's what your opponents are up to, after all!///[happy]I figured a hunting competition would be a fun way to get the community involved in a friendly game.///[neutral]Are you participating, #player_name#? If so, I'd advise you to start now!","[playful]And that's the end of the competition! You've proven that you are the quickest hunter in #colony_title_with_article#. That's no small feat!///[happy]To the victor go the spoils! Here are your [green]Task Tokens[/green], as advertised.///[thinking]I hope you'll consider donating some of your prey to the stockpile, but you are free to do what you will with your catches. Congratulations on your victory."
aerialwarfare,.lang,tasks\lang\english\aerialwarfare.lang,Aerial Warfare,"Looking for: 1 Tropical Butterfly. This board is anonymous, right?","[hiss][angry]Hey, how did you know that was me?? I thought the task board postings were anonymous. Can you imagine if the others found out I wanted a [green]Tropical Butterfly[/green]? I'd be humiliated!///[thinking]Was my name really attached to the posting? I can't believe this. My eyes must have tricked me.///[angry]Hey, don't mention this to anyone else. You took down the listing, didn't you?","[thinking]Well, I guess I've got to honor my end of the deal. You delivered the [green]Tropical Butterfly[/green] so I'll hand over your [green]Task Tokens[/green] as agreed.///[angry]Don't you dare tell anyone else about this! You understand me?"
ahankering,.lang,tasks\lang\english\ahankering.lang,A Hankering,I've got a real hankering for some Trout! Think anybody could track some down for me? Me and my stomach would be awfully grateful!,"[shocked]Well now, did you hear that? That was my stomach a-rumblin'! I'm getting dizzy just thinking about fish.///[sad]If I don't get my paws on some [green]Trout[/green] soon I might just wither away to nothing! I wish I were a better swimmer, maybe I'd catch some myself.","[happy]Hey, do I smell what I think I smell? Mmmm, [green]Trout[/green]!///[shocked]Those are the most tantalizing fish I've ever laid eyes on. These are better than I could have hoped for, #player_name#.///[playful]I'm going to go ahead and dig in if you don't mind. Thanks for your help."
artproject,.lang,tasks\lang\english\artproject.lang,Art Project,I'd like to create a mosaic out of pebbles but I can't seem to find any. Does anyone else know where to look?,[happy]I had a dream the other day about a beautiful mosaic that I'd love to create using painted pebbles. It's going to be the best art project I've ever done when it's completed!///[shocked]Only problem is that I can't seem to find any pebbles to use. I've looked everywhere! Do you know where they might be hiding?,"[playful]Oh wow, those are just what I needed! I had almost given up hope on my art project.///[happy]I'll take those [green]Rock Debris[/green] and get to work on my project. Thanks for lending a paw, #player_name#."
aspecialtreat,.lang,tasks\lang\english\aspecialtreat.lang,A Special Treat,Hey! Does any cat have some extra Catnip to spare? I would be grateful to any cat who can deliver some to me.,"[shocked]Yes, I was the cat who posted about the [green]Catnip[/green]. Did you happen to have some to spare?","[playful]Yeah, I thought I smelled some [green]Catnip[/green]!///[happy]You rounded this up just for me? Thank you, #player_name#. You're the coolest!"
barkbark,.lang,tasks\lang\english\barkbark.lang,"Bark, Bark!","I have heard a tale of a rare beetle known only as 'bark'. It is rare and valuable, much like myself. That is why I must acquire such a beetle for myself.","[thinking]I was deep in conversation when the [green]Bark Beetle[/green] was mentioned by someone.///[playful]They say that the [green]Beetle[/green] known as [green]Bark[/green] is both rare and valuable. Is it true, #player_name#?///[neutral]If so then it is a kindred spirit to my own. I wish to have one for myself. Surely you must understand this desire, no?///[thinking]You must act quickly, for it is said that the [green]Bark Beetle[/green] will go dormant when the springtime comes again.","[happy]I see now why the [green]Beetle[/green] known as [green]Bark[/green] is highly prized by so many a cat. I have never seen an insect as lovely as this.///[playful]It is fitting for one such as myself to own such a beautiful bug. It is now where it belongs in my paws, as these [green]Task Tokens[/green] will soon be where they belong."
berryblues,.lang,tasks\lang\english\berryblues.lang,Berry Blues,"Try as I might, I can't seem to locate any Blueberries! I thought they were supposed to be easy to spot against the snow, but apparently not. Can someone help me?","[shocked]Oh, I can't find them anywhere! Will I ever get to taste the sweetness of a [green]Blueberry[/green]?","[happy]Wow, those are the bluest [green]Blueberries[/green] I've ever seen! Do you think that means they'll be tastier than average?///[playful]Hope you don't mind if I eat them now. They look delicious!///[happy]I appreciate you rounding these up for me."
busybee,.lang,tasks\lang\english\busybee.lang,Busy Bee,The humble bee is renowned for its ability to improve the quality of all nearby flowers. I wish to study a few to learn their secret ways.,"[neutral]It is known to many that the mere presence of a nearby beehive will improve the quality of all the nearby wildflowers. How is this possible?///[thinking]I seek to unravel the mystery through careful observation and study of the creatures.///[neutral]If I could only acquire a couple of [green]Bee[/green]s for myself, my research could move at a much quicker pace.","[happy]These will do nicely for my research! I can see that they have been handled with the delicate care that they require.///[playful]Of course, it is always wise to handle a [green]Bee[/green] with great care, lest the stinger find its way into one's paw!///[happy]I am pleased that you have found these for me. Here, have these [green]Task Tokens[/green] in payment for your efforts."
cavein,.lang,tasks\lang\english\cavein.lang,Cave-in,A recent rockfall has blocked our most important route in the mines. We need somebody to clear it out!,[neutral]Every time we dig a new route it seems like the cave conspires against us. We just dug a tunnel yesterday that's already filled with rubble. Just my luck.///[neutral]Did you come to clear it out? I have some [green]Task Tokens[/green] for the first cat that lends their claws. Now quit it with the chit-chat and get to work!,"[neutral]Hey, I heard a lot of digging coming from the cave mouth. You must have really worked up a sweat, eh?///[neutral]Alright, here's your reward. Now get back to work!"
chewyroots,.lang,tasks\lang\english\chewyroots.lang,Chewy Roots,"Whenever I need to think I need to chew on something chewy. Helps my brain process a little faster I guess. Anywho, I'm all out of Licorice and I could use some so that I can think better.","[thinking]Oh it's no big crisis, I could just use some more [green]Licorice[/green] for chewing while I think. The roots last forever if you chew gently.///[neutral]It's got a strong flavor but that never scared me off. If you see some you let me know, alright?","[happy]Well now, that's plenty of [green]Licorice[/green], it'll keep me chewing and thinking for a long time! Much obliged, #player_name#."
cliniccomplications,.lang,tasks\lang\english\cliniccomplications.lang,Clinic Complications,"Ah! There's never enough Goldenseal to go around. Cats keep getting injured left and right and we need something to treat their wounds, asap!","[sad]Oh, what ever is a doctor to do? I am running low on [green]Goldenseal[/green]!///[shocked]Ack, I may have to resort to more... experimental treatments if I cannot find a new source of [green]Goldenseal[/green]. Can you assist me, #player_name#?","[happy]By my beak! Do I detect some [green]Goldenseal[/green]? Yes, my nose does not lie!///[playful]You have been a great help, #player_name#. I will take these off your paws now."
crushedcoral,.lang,tasks\lang\english\crushedcoral.lang,Crushed Coral,"There is plenty of coral upon the beach, yes? Please fetch it for me and bring it back. I cannot be bothered to gather it myself, you see.","[shocked]Yes, I am looking for [green]Coral[/green]! But I will not give you the reason.///[neutral]Ok, since you twist my arm and cannot let it drop, I will tell you why I need it. But you must tell no one of this!///[thinking]I crush the [green]Coral[/green] into a fine powder which makes a fine red dye. I use the dye to give my hair a more vibrant hue.///[shocked]It is my secret weapon, you see! Now go and fetch some for me before my fabulous hair color fades even more than it already has.","[shocked]Ah, you have gathered the requisite [green]Coral[/green]? Let me see.///[thinking]Hmmm. Smaller samples than I am accustomed to, but it will have to do. I will take it.///[neutral]Here is your reward for your efforts."
dangerforbreakfast,.lang,tasks\lang\english\dangerforbreakfast.lang,Danger for Breakfast,"I heard there's some snakes that have started nesting near town. Anybody want to fight one off? It'll be fun, I promise.","[neutral]Hey, you're trying to track down a [green]Snake[/green], right? I heard you took up my task.///[playful]I'm sure you'll do fine. They're scrappy critters but they're no match for us cats.","[happy]Oh, that's no small [green]Snake[/green] you reeled in! I wish I could have watched the fight. I'll bet it was epic.///[neutral]You'll have to tell me all about it later, ok?"
darklady,.lang,tasks\lang\english\darklady.lang,Dark Lady,I almost caught a Black Ladybug earlier today but it crawled through my claws and got away! Won't somebody help me find another?,"[shocked]I was this close to catching a [green]Black Ladybug[/green]!///[sad]I had it in my paws and everything. I must not have closed my fist tight enough because it crawled right out and flew away.///[angry]I have a spot ready for one in my bug collection but it's still empty. If you see a [green]Black Ladybug[/green], [i]please please pleeease[/i] bring it to me!",[shocked]Oh woah! That one is even bigger than the one that got away! What a cool bug!!///[happy]Thanks #player_name#. I know it must not be easy to part with such an awesome [green]Black Ladybug[/green]. You're the best.
easyscouting,.lang,tasks\lang\english\easyscouting.lang,Easy Scouting,We need a scout to check out several regions in the wilderness and report back.,"[neutral]You never know what you might find in the wilderness, so we send scouts out regularly to check on things.///[neutral]If you see anything suspicious, make sure you note it in your report.",[neutral]You're back from your scouting mission? Everything looked normal? Good.///[happy]Thank you for volunteering. We are all safer when we know what's going on in the world around us.
energycrisis,.lang,tasks\lang\english\energycrisis.lang,Energy Crisis,"Hello, my fine colleagues! I am imploring the community to harvest some Valerian for me. It keeps me energized while I work late into the night!","[shocked]Oh, what a dreadful fate! What a crisis I am in!///[sad]How am I to work late into the night on scientific experiments if I have no energy to do so??///[angry]I usually rely on the plant known as [green]Valerian[/green] to keep me going, but it seems I have run out unexpectedly.///[sad]It is a true shame. If only some fine cat could bring me some to restock my supplies...","[happy]A triumph! You have found the much-needed energy plants per my request. These will do perfectly.///[playful]You have my gratitude, #player_name#. Now my experiments can continue!"
experimentation,.lang,tasks\lang\english\experimentation.lang,Experimentation,Wanted: Some Voidmarrow for my latest experimental potion. Effects: Unknown!,"[playful]Yes, it was I who put in the order for some [green]Voidmarrow[/green]!///[sad]But it is ever so difficult to acquire. That's where you come in, #player_name#.///[thinking]Rumor has it that defeating Voidling cats may yield a trace amount of [green]Voidmarrow[/green]...","[playful]By my beak, what a prodigious quantity of [green]Voidmarrow[/green]! This is just what I need to begin my experiment.///[happy]Science will remember you for your contributions, #player_name#!"
fuzzyfeeling,.lang,tasks\lang\english\fuzzyfeeling.lang,Fuzzy Feeling,"Gosh, those Tussock Moths sure are hard to find! If you have an extra, I'd love to have it, m'kay?","[neutral]I'm in need of a [green]Tussock Moth[/green]. Why? 'Cause I like the way they feel, that's why. They're fuzzy and soft and they make me happy, m'kay?///[thinking]Not just any moth will do. Only a [green]Tussock Moth[/green] has the pattern that I'm looking for.///[neutral]If you're really going to try to find one for me, try looking for one at night. That's when moths seem to be most active.","[shocked]Oh my gosh, that's a [green]Tussock Moth[/green] if I've ever seen one. Where did you find this, #player_name#?///[playful]I guess it doesn't matter. I'm just glad that you brought it to me. I appreciate it, hon."
greenthumb,.lang,tasks\lang\english\greenthumb.lang,Green Thumb,"I think the world would be better off if we all spent more time in nature, don't you agree? Does any cat want to help me plant some new herbs and flowers?","[happy]I'd love to see the garden full of life.///[playful]I'm rewarding some [green]Task Tokens[/green] to any cat that can plant a couple new herbs or flowers. Let me know when you've done so, ok?","[happy]There's nothing like working with your paws to bring new greenery into the world. It does the heart good.///[happy]Here's that reward that was promised. Thank you for taking my request seriously, #player_name#."
greenwithenvy,.lang,tasks\lang\english\greenwithenvy.lang,Green with Envy,"I have many Emeralds, but I need more! More, more more! There's never enough Emeralds to go around.","[shocked]Are you really here to ask what I'm going to do with all those [green]Emeralds[/green]? I need no explanation!///[playful]Suffice to say that I have plans. Big plans. Plans that do not involve you, #player_name#...","[playful]Look upon the beauty of these [green]Emeralds[/green]! How precious these stones are to my heart.///[neutral]You have done well, #player_name#."
hardscouting,.lang,tasks\lang\english\hardscouting.lang,Hard Scouting,We need a scout to check out several regions in the wilderness and report back.,"[neutral]You never know what you might find in the wilderness, so we send scouts out regularly to check on things.///[neutral]If you see anything suspicious, make sure you note it in your report.",[neutral]You're back from your scouting mission? Everything looked normal? Good.///[happy]Thank you for volunteering. We are all safer when we know what's going on in the world around us.
honeyourhunting,.lang,tasks\lang\english\honeyourhunting.lang,Hone Your Hunting,We need to work on our hunting skills! I'm offering a reward to any cat that's willing to practice catching prey. You can keep what you catch.,"[neutral]You've seen my posting? Yes, I am afraid that our #colony_title# has gotten quite complacent when it comes to hunting.///[thinking]We need to always be ready to deal with a shortage of food just in case it ever happens. The best way to prepare is to practice hunting regularly.///[playful]That's why I've posted a bounty to the board. If you catch some prey I'll give you the reward. I'll even let you keep what you catch!","[playful]I watched you as you went about your hunting practice. You've gotten quite good at catching prey, #player_name#. Well done.///[neutral]Here is your [green]Task Tokens[/green], as promised. Thank you for being willing to hone your skills."
juicysweet,.lang,tasks\lang\english\juicysweet.lang,Juicy Sweet,"Oh, I spent all yesterday looking for Raspberries, but I couldn't find any. Will I ever get to taste one? Probably not...","[sad]Why is it that every time I try to go out and find a [green]Raspberry[/green], all I can find is [green]Goldenseal[/green].///[shocked]I don't want to eat [green]Goldenseal[/green]! I want to eat a [green]Raspberry[/green]!///[sad]I don't think my luck is going to improve any time soon, so maybe you could bring me back some [green]Raspberries[/green]? I know you must find them all the time...","[shocked]Woah, why are your paws all red? Did you get into a fight? Oh no...///[playful]Oh wait! That's not why your paws are red. I can smell [green]Raspberries[/green]! You must have found some for me, didn't you?///[happy]Woah, those look extra sweet and juicy! Sorry I couldn't find any for myself. I really do appreciate you bringing me a couple to snack on."
keepdigging,.lang,tasks\lang\english\keepdigging.lang,Keep Digging,Our tunnels keep caving in! We need a cat with sharp claws to open up a new route down. 24 levels should be enough.,[neutral]Our supply lines are cut off by all these rocks that keep collapsing! We need someone like you to find a new path down.///[neutral]I think if you dug about 24 levels down I'd be happy to give you some [green]Task Tokens[/green]. What do you think?,"[neutral]Great, now we can get supplies down to our miners once again. Looks like you found a decent path. Hopefully it stays open longer this time.///[neutral]And here's your reward for your hard work. It pays to help us moles, eh?"
keepingup,.lang,tasks\lang\english\keepingup.lang,Keeping Up,"How will I live without a Green Firefly to keep me company? No, I cannot go on! I must have it for myself!","[sad]Oh, it is a great tragedy! For I, #npc_name_glimmer#, have heard of something which I do not possess!///[angry]The others will laugh at me when they discover that I lack a [green]Green Firefly[/green]! What horror! What sadness! What envy I feel!///[sad]I beg of you, #player_name#, right this wrong and deliver to me a [green]Green Firefly[/green] soon!",[happy]The crisis has been averted! I am now in possession of a [green]Green Firefly[/green].///[playful]None shall mock me now for what I lack!
luckcharm,.lang,tasks\lang\english\luckcharm.lang,Luck Charm,I'm in need of several Rabbits. Did you not know they are extremely lucky creatures?,"[angry]I only wish to catch a [green]Rabbit[/green], but the silly little critters keep evading my every attempt!///[playful]They may outwit me, but they will not outwit you, #player_name#. Their destinies are already decided.","[playful]Oh ho ho, these will do perfectly. Your efforts will not go unrewarded."
mediumscouting,.lang,tasks\lang\english\mediumscouting.lang,Medium Scouting,We need a scout to check out several regions in the wilderness and report back.,"[neutral]You never know what you might find in the wilderness, so we send scouts out regularly to check on things.///[neutral]If you see anything suspicious, make sure you note it in your report.",[neutral]You're back from your scouting mission? Everything looked normal? Good.///[happy]Thank you for volunteering. We are all safer when we know what's going on in the world around us.
miceproblems,.lang,tasks\lang\english\miceproblems.lang,Mice Problems,The store could use some Mice to bolster our inventory. I'm afraid we'll run out of Mice if we don't find some soon! I can't let our customers down.,[shocked]I don't know what we're going to do if we don't find some [green]Mice[/green] soon! I just double checked the back and it's looking pretty desperate.///[thinking]Please let me know if you track some down! I don't know what I'm going to do otherwise.,"[shocked]Oh #player_name#, you're a life saver! These [green]Mice[/green] are just what we needed to keep the shop open.///[happy]I'll be sure to remember your kindness."
minnowsnack,.lang,tasks\lang\english\minnowsnack.lang,Minnow Snack,I'm not super hungry but I could go for something light. Something like a tiny little Minnow. Just one bite is all I need to fill me up!,"[shocked]Oh, it's not that big a deal. I don't need #leader_title_with_article# to find it for me. Unless you want to!///[neutral]I'm just in the mood to eat a [green]Minnow[/green], you know? Doesn't that sound delicious?","[happy]Perfect! That's the right size and everything. It'll make for an awesome snack.///[shocked]I almost found a [green]Minnow[/green] for myself before you came by but I scared it off. Whoops.///[happy]Anyways, thanks for your help #player_name#! It looks very tasty."
