file,extension,path,lang_world_object_name
abandonedwell,.lang,world_objects\lang\english\abandonedwell.lang,Abandoned Well
ancientsconce,.lang,world_objects\lang\english\ancientsconce.lang,Ancient Sconce
bambootorch,.lang,world_objects\lang\english\bambootorch.lang,Bamboo Torch
basaltrocka,.lang,world_objects\lang\english\basaltrocka.lang,Basalt Rock A
basaltrockb,.lang,world_objects\lang\english\basaltrockb.lang,Basalt Rock B
basaltrockc,.lang,world_objects\lang\english\basaltrockc.lang,Basalt Rock C
basaltrockd,.lang,world_objects\lang\english\basaltrockd.lang,Basalt Rock D
basaltrocke,.lang,world_objects\lang\english\basaltrocke.lang,Basalt Rock E
basaltrockf,.lang,world_objects\lang\english\basaltrockf.lang,Basalt Rock F
basaltrockg,.lang,world_objects\lang\english\basaltrockg.lang,Basalt Rock G
basaltrockh,.lang,world_objects\lang\english\basaltrockh.lang,Basalt Rock H
basaltrocki,.lang,world_objects\lang\english\basaltrocki.lang,Basalt Rock I
basaltrockj,.lang,world_objects\lang\english\basaltrockj.lang,Basalt Rock J
birchstumpa,.lang,world_objects\lang\english\birchstumpa.lang,Birch Stump A
birchstumpb,.lang,world_objects\lang\english\birchstumpb.lang,Birch Stump B
birchstumpc,.lang,world_objects\lang\english\birchstumpc.lang,Birch Stump C
birchtreea,.lang,world_objects\lang\english\birchtreea.lang,Birch Tree A
birchtreeb,.lang,world_objects\lang\english\birchtreeb.lang,Birch Tree B
birchtreec,.lang,world_objects\lang\english\birchtreec.lang,Birch Tree C
birchtreed,.lang,world_objects\lang\english\birchtreed.lang,Birch Tree D
birchtreee,.lang,world_objects\lang\english\birchtreee.lang,Birch Tree E
birchtreef,.lang,world_objects\lang\english\birchtreef.lang,Birch Tree F
birchtreeg,.lang,world_objects\lang\english\birchtreeg.lang,Birch Tree G
birchtreeh,.lang,world_objects\lang\english\birchtreeh.lang,Birch Tree H
birchtreei,.lang,world_objects\lang\english\birchtreei.lang,Birch Tree I
birchtreej,.lang,world_objects\lang\english\birchtreej.lang,Birch Tree J
blackcrystallamp,.lang,world_objects\lang\english\blackcrystallamp.lang,Black Crystal Lamp
brazier,.lang,world_objects\lang\english\brazier.lang,Brazier
busha,.lang,world_objects\lang\english\busha.lang,Bush A
bushb,.lang,world_objects\lang\english\bushb.lang,Bush B
bushc,.lang,world_objects\lang\english\bushc.lang,Bush C
bushd,.lang,world_objects\lang\english\bushd.lang,Bush D
bushe,.lang,world_objects\lang\english\bushe.lang,Bush E
bushf,.lang,world_objects\lang\english\bushf.lang,Bush F
bushg,.lang,world_objects\lang\english\bushg.lang,Bush G
bushh,.lang,world_objects\lang\english\bushh.lang,Bush H
bushi,.lang,world_objects\lang\english\bushi.lang,Bush I
bushj,.lang,world_objects\lang\english\bushj.lang,Bush J
