file,extension,path,lang_world_object_name
abandonedwell,.lang,world_objects\lang\spanish\abandonedwell.lang,Pozo abandonado
ancientsconce,.lang,world_objects\lang\spanish\ancientsconce.lang,Antorcha antigua
bambootorch,.lang,world_objects\lang\spanish\bambootorch.lang,Antorcha de bambú
basaltrocka,.lang,world_objects\lang\spanish\basaltrocka.lang,Roca de basalto A
basaltrockb,.lang,world_objects\lang\spanish\basaltrockb.lang,Roca de basalto B
basaltrockc,.lang,world_objects\lang\spanish\basaltrockc.lang,Roca de basalto C
basaltrockd,.lang,world_objects\lang\spanish\basaltrockd.lang,Roca de basalto D
basaltrocke,.lang,world_objects\lang\spanish\basaltrocke.lang,Roca de basalto E
basaltrockf,.lang,world_objects\lang\spanish\basaltrockf.lang,Roca de basalto F
basaltrockg,.lang,world_objects\lang\spanish\basaltrockg.lang,Roca de basalto G
basaltrockh,.lang,world_objects\lang\spanish\basaltrockh.lang,Roca de basalto H
basaltrocki,.lang,world_objects\lang\spanish\basaltrocki.lang,Roca de basalto I
basaltrockj,.lang,world_objects\lang\spanish\basaltrockj.lang,Roca de basalto J
birchstumpa,.lang,world_objects\lang\spanish\birchstumpa.lang,Tocón de abedul A
birchstumpb,.lang,world_objects\lang\spanish\birchstumpb.lang,Tocón de abedul B
birchstumpc,.lang,world_objects\lang\spanish\birchstumpc.lang,Tocón de abedul C
birchtreea,.lang,world_objects\lang\spanish\birchtreea.lang,Abedul A
birchtreeb,.lang,world_objects\lang\spanish\birchtreeb.lang,Abedul B
birchtreec,.lang,world_objects\lang\spanish\birchtreec.lang,Abedul C
birchtreed,.lang,world_objects\lang\spanish\birchtreed.lang,Abedul D
birchtreee,.lang,world_objects\lang\spanish\birchtreee.lang,Abedul E
birchtreef,.lang,world_objects\lang\spanish\birchtreef.lang,Abedul F
birchtreeg,.lang,world_objects\lang\spanish\birchtreeg.lang,Abedul G
birchtreeh,.lang,world_objects\lang\spanish\birchtreeh.lang,Abedul H
birchtreei,.lang,world_objects\lang\spanish\birchtreei.lang,Abedul I
birchtreej,.lang,world_objects\lang\spanish\birchtreej.lang,Abedul J
blackcrystallamp,.lang,world_objects\lang\spanish\blackcrystallamp.lang,Lámpara de cristal negro
brazier,.lang,world_objects\lang\spanish\brazier.lang,Brasero
busha,.lang,world_objects\lang\spanish\busha.lang,Arbusto A
bushb,.lang,world_objects\lang\spanish\bushb.lang,Arbusto B
bushc,.lang,world_objects\lang\spanish\bushc.lang,Arbusto C
bushd,.lang,world_objects\lang\spanish\bushd.lang,Arbusto D
bushe,.lang,world_objects\lang\spanish\bushe.lang,Arbusto E
bushf,.lang,world_objects\lang\spanish\bushf.lang,Arbusto F
bushg,.lang,world_objects\lang\spanish\bushg.lang,Arbusto G
bushh,.lang,world_objects\lang\spanish\bushh.lang,Arbusto H
bushi,.lang,world_objects\lang\spanish\bushi.lang,Arbusto I
bushj,.lang,world_objects\lang\spanish\bushj.lang,Arbusto J
caverocka,.lang,world_objects\lang\spanish\caverocka.lang,Roca de cueva A
caverockb,.lang,world_objects\lang\spanish\caverockb.lang,Roca de cueva B
caverockc,.lang,world_objects\lang\spanish\caverockc.lang,Roca de cueva C
caverockd,.lang,world_objects\lang\spanish\caverockd.lang,Roca de cueva D
caverocke,.lang,world_objects\lang\spanish\caverocke.lang,Roca de cueva E
caverockf,.lang,world_objects\lang\spanish\caverockf.lang,Roca de cueva F
caverockg,.lang,world_objects\lang\spanish\caverockg.lang,Roca de cueva G
caverockh,.lang,world_objects\lang\spanish\caverockh.lang,Roca de cueva H
caverocki,.lang,world_objects\lang\spanish\caverocki.lang,Roca de cueva I
caverockj,.lang,world_objects\lang\spanish\caverockj.lang,Roca de cueva J
celestiallantern,.lang,world_objects\lang\spanish\celestiallantern.lang,Linterna celestial
crystala,.lang,world_objects\lang\spanish\crystala.lang,Cristal A
crystalb,.lang,world_objects\lang\spanish\crystalb.lang,Cristal B
crystalc,.lang,world_objects\lang\spanish\crystalc.lang,Cristal C
crystald,.lang,world_objects\lang\spanish\crystald.lang,Cristal D
crystale,.lang,world_objects\lang\spanish\crystale.lang,Cristal E
crystalf,.lang,world_objects\lang\spanish\crystalf.lang,Cristal F
crystalg,.lang,world_objects\lang\spanish\crystalg.lang,Cristal G
crystalh,.lang,world_objects\lang\spanish\crystalh.lang,Cristal H
crystali,.lang,world_objects\lang\spanish\crystali.lang,Cristal I
crystalj,.lang,world_objects\lang\spanish\crystalj.lang,Cristal J
crystallamp,.lang,world_objects\lang\spanish\crystallamp.lang,Lámpara de cristal azul
deadbusha,.lang,world_objects\lang\spanish\deadbusha.lang,Arbusto seco A
deadbushb,.lang,world_objects\lang\spanish\deadbushb.lang,Arbusto seco B
deadbushc,.lang,world_objects\lang\spanish\deadbushc.lang,Arbusto seco C
deadbushd,.lang,world_objects\lang\spanish\deadbushd.lang,Arbusto seco D
deadbushe,.lang,world_objects\lang\spanish\deadbushe.lang,Arbusto seco E
deadtreea,.lang,world_objects\lang\spanish\deadtreea.lang,Árbol seco A
deadtreeb,.lang,world_objects\lang\spanish\deadtreeb.lang,Árbol seco B
deadtreec,.lang,world_objects\lang\spanish\deadtreec.lang,Árbol seco C
deadtreed,.lang,world_objects\lang\spanish\deadtreed.lang,Árbol seco D
